path,coordonnées,catégorie,sous-catégorie,titre,baratineur,piocheur,contexte,enjeu,suggestion,CCby,category,subcategory,title,smoothTalker,drawer,context,issue,suggestion_en,category_ru,subcategory_ru,title_ru,smoothTalker_ru,drawer_ru,context_ru,issue_ru,suggestion_ru,category_pt,subcategory_pt,title_pt,smoothTalker_pt,drawer_pt,context_pt,issue_pt,suggestion_pt,édition février 2022,print_&_play_fevrier_2022,print_and_play,category_ar,subcategory_ar,title_ar,smoothTalker_ar,drawer_ar,context_ar,issue_ar,suggestion_ar,category_es,subcategory_es,title_es,smoothTalker_es,drawer_es,context_es,issue_es,suggestion_es,category_zh,subcategory_zh,title_zh,smoothTalker_zh,drawer_zh,context_zh,issue_zh,suggestion_zh,category_fa,subcategory_fa,title_fa,smoothTalker_fa,drawer_fa,context_fa,issue_fa,suggestion_fa
4.2.2,"4,0202",vie professionnelle,relations au travail,Le dernier verre,Une personne quelconque,Un stagiaire sérieux,"Il est cinq heures du matin. Déjà éméché, le baratineur décide de reprendre un dernier verre alors qu'il travaille dans deux heures.",Il doit défendre cette sage décision auprès du stagiaire qui l'accompagne.,Vous êtes sûr que c'est bien raisonnable ?,Argumentum,Professional life,Workplace relations,The last glass,You,Yourself,"It's five o'clock in the morning, although already drunk, you decide to have a nightcap while you're working in two hours.",He must defend this wise decision to the trainee accompanying him.,Are you sure that's wise?,Профессиональная жизнь,Отношения на работе,Последний бокал,Некто,Серьезный стажер,"Пять утра, и хорошо выпивший болтун решает поднять последний бокал, хотя через два часа у него работа.","Он должен отстоять это мудрое решение перед стажером, который сопровождает его.","Вы уверены, что это разумно?",Vida profissional,relações no trabalho,O último copo,Alguém,Um estagiário sério,"São cinco da manhã. Já meio embriagado, o Embromador decide tomar um último copo, apesar de entrar ao trabalho daqui a duas horas.",Tem de defender esta sábia decisão junto do estagiário que o acompanha.,Tem a certeza de que isso é razoável?,1,,,حياة مهنية,العلاقات في العمل,الكأس الأخيرة,شخص عادي,متدرّب جاد,الساعة الخامسة صباحًا، ورغم أنه ثمل بعض الشيء، يقرر المراوغ أن يشرب كأسًا أخيرة مع أنه سيبدأ العمل بعد ساعتين.,عليه أن يدافع بالحجج عن هذا القرار الحكيم أمام المتدرّب الذي يرافقه.,هل أنت متأكد أن هذا تصرّف معقول؟,vida profesional,relaciones laborales,La última copa,Una persona cualquiera,Un becario serio,"Son las cinco de la mañana y, aunque ya está algo achispado, el baratineur decide tomarse una última copa cuando tiene que trabajar dentro de dos horas.",Debe argumentar esta sabia decisión ante el becario que lo acompaña.,¿Seguro que eso es sensato?,职业生活,职场关系,最后一杯,某个普通人,认真的实习生,凌晨五点，虽然已经微醺，忽悠者还是决定再来最后一杯，而他两小时后就要上班。,他必须向陪着他的实习生论证这个“明智”决定。,您确定这样真的合理吗？,زندگی حرفه‌ای,روابط در محیط کار,آخرین پیک,یک آدم معمولی,یک کارآموز جدی,ساعت پنج صبح است؛ چرب‌زبان با اینکه همین حالا هم کمی مست است، تصمیم می‌گیرد یک پیک آخر هم بزند، آن هم وقتی دو ساعت دیگر باید سر کار باشد.,باید این تصمیم عاقلانه را برای کارآموزی که همراهش است توجیه کند.,مطمئنید کار عاقلانه‌ای است؟
4.2.3,"4,0203",vie professionnelle,relations au travail,La délocalisation,Le patron,Les représentants syndicaux,Le baratineur est patron d'une entreprise florissante.,Il doit convaincre le représentant du personnel de faire partir les employés travailler en Pologne afin de réduire les coûts de main-d’œuvre.,"Si votre bilan est aussi positif, c'est à nous que vous le devez.",Argumentum,Professional life,Workplace relations,Offshoring,The Boss,Union representatives,You're the boss of a thriving business.,He must convince the employees' representative to send the staff to work in Poland in order to reduce labour costs.,"If your balance sheet is this positive, you owe it to us.",Профессиональная жизнь,Отношения на работе,Профсоюзные деятели,Босс,Представители профсоюза,Болтун является начальником процветающей компании.,"Он должен убедить своих сотрудников поехать на работу в Польшу, чтобы снизить затраты на рабочую силу.","Если у вас столь высокие результаты, то это благодаря нам.",Vida profissional,relações no trabalho,A realocação,O chefe,Representantes da União,O Embromador é o chefe de uma empresa florescente.,Ele deve convencer o representante dos funcionários a mandá-los trabalhar na Polônia para reduzir os custos de mão de obra.,"Se o seu balanço é tão positivo, é a nós que você o deve.",1,1,,حياة مهنية,العلاقات في العمل,نقل النشاط إلى الخارج,المدير,ممثلو النقابة,البرّاق مديرُ شركة مزدهرة.,عليه أن يقنع ممثل موظفيه بالذهاب للعمل في بولندا لخفض تكاليف اليد العاملة.,إذا كانت حصيلتكم بهذه الإيجابية، فالفضل في ذلك يعود إلينا.,vida profesional,relaciones laborales,La deslocalización,El jefe,Los representantes sindicales,El baratinador es jefe de una empresa floreciente.,Debe convencer al representante de sus empleados de irse a trabajar a Polonia para reducir los costes de mano de obra.,"Si el balance es tan positivo, es a nosotros a quienes se lo debe.",职业生活,职场关系,外迁,老板,工会代表,花言巧语者是一家蒸蒸日上的企业老板。,他必须说服员工代表前往波兰工作，以降低劳动力成本。,如果您的财报这么亮眼，那可都是我们的功劳。,زندگی حرفه‌ای,روابط در محیط کار,برون‌سپاری به خارج,رئیس شرکت,نمایندگان اتحادیه,چرب‌زبان، رئیس یک شرکت پررونق است.,او باید نماینده کارکنانش را قانع کند برای کاهش هزینه‌های نیروی کار به لهستان برود و آنجا کار کند.,اگر ترازنامه‌تان این‌قدر مثبت است، این را مدیون ما هستید.
4.2.4,"4,0204",vie professionnelle,relations au travail,Merci patron,Le patron,Son employé méritant,"Le baratineur a promis une belle augmentation à son meilleur employé s'il atteignait ses objectifs. Les résultats ont dépassé les attentes, et le baratineur en a profité pour vendre son entreprise à bon prix.","Pour finaliser la vente, il doit convaincre son employé de renoncer à sa prime.","Monsieur le directeur, je suis fier de venir vous demander ma récompense après tous ces efforts.",Argumentum,Professional life,Workplace relations,thanks boss,The boss,His deserving employee,The smooth talker promised a good increase to his best employee if he achieved his goals. His results have been better than expected and the baratuser took the opportunity to sell his business at a good price.,"To finalize the sale, he must convince his employee to give up his bonus.","Mr. Director, I am proud to come and ask you for my award after all these efforts.",Профессиональная жизнь,Отношения на работе,"Спасибо, босс",Босс,Достойный сотрудник,"Болтун пообещал повышение лучшему сотруднику, если тот достигнет цели. Результаты оказались лучше, чем ожидалось, и болтун воспользовался возможностью продать свой бизнес по хорошей цене.","Чтобы завершить сделку по продаже своего бизнеса, он должен убедить сотрудника отказаться от бонуса.","Господин директор, я радуюсь нашим результатам и пришел к вам за тем, что мне причитается.",Vida profissional,relações no trabalho,obrigado chefe,O chefe,Seu funcionário merecedor,"O Embromador prometeu um bom aumento ao seu melhor funcionário se ele alcançasse seus objetivos. Os resultados superaram as expectativas, e o Embromador aproveitou a oportunidade para vender sua empresa por um bom preço.","Para finalizar a venda de seus negócios, ele deve convencê-lo a desistir de seu bônus.","Sr. Diretor, tenho orgulho de vir pedir minha recompensa depois de todos esses esforços.",,,,حياة مهنية,العلاقات في العمل,شكرًا أيها المدير,المدير,موظفه المجتهد,وعد البرّاقُ أفضلَ موظفيه بزيادة جميلة إن حقق أهدافه. فجاءت نتائجه أفضل من المتوقع، فاستغل البرّاق الفرصة وباع شركته بسعر ممتاز.,ولكي يُتمّ بيع شركته، عليه أن يقنعه بالتنازل عن مكافأته.,سيدي المدير، يشرّفني أن آتي اليوم لأطلب مكافأتي بعد كل هذه الجهود.,vida profesional,relaciones laborales,"Gracias, jefe",El jefe,Su empleado meritorio,El baratinador prometió un buen aumento a su mejor empleado si alcanzaba sus objetivos. Sus resultados fueron mejores de lo previsto y el baratinador aprovechó para vender su empresa a buen precio.,"Para cerrar la venta de su empresa, debe convencerlo de renunciar a su prima.","Señor director, me enorgullece venir a pedirle mi recompensa después de todos estos esfuerzos.",职业生活,职场关系,谢谢老板,老板,他那位优秀员工,花言巧语者曾向自己最出色的员工承诺：如果达成目标，就给一笔漂亮的加薪。结果员工成绩超出预期，而花言巧语者趁机把公司卖了个好价钱。,为了完成公司出售，他必须说服这名员工放弃奖金。,经理先生，经过这么多努力，我很自豪地来向您领取我的奖励。,زندگی حرفه‌ای,روابط در محیط کار,ممنون رئیس,رئیس شرکت,کارمند شایسته‌اش,چرب‌زبان به بهترین کارمندش قول یک افزایش حقوق حسابی داده بود، به شرطی که به اهدافش برسد. نتایج او بهتر از انتظار شد و چرب‌زبان هم از فرصت استفاده کرد و شرکتش را با قیمت خوبی فروخت.,برای نهایی کردن فروش شرکتش، باید او را قانع کند از پاداشش بگذرد.,جناب مدیر، افتخار می‌کنم که بعد از این‌همه تلاش آمده‌ام پاداشم را از شما بخواهم.
4.2.5,"4,0205",vie professionnelle,relations au travail,Le déconfinement,Un employé malade,Son responsable,Le baratineur est un employé atteint du Covid et actuellement confiné.,"Ne supportant plus son environnement familial, il doit convaincre son responsable de le laisser revenir travailler au bureau.",Vous avez pensé une minute à la santé de vos collègues ?,Argumentum,Professional life,Workplace relations,The deconfine,A sick employee,His manager,The smooth talker is an employee with COVID and currently confined.,"Unable to stand his family environment any longer, he must convince his manager to let him return to work at the office.",Have you thought about the health of your colleagues for a minute?,Профессиональная жизнь,Отношения на работе,Окончание самоизоляции,Больной сотрудник,Менеджер,Болтун заболел ковидом и вынужден сидеть дома.,"Поскольку он больше не может находиться в кругу семьи, то должен убедить своего менеджера позволить ему вернуться в офис.",Вы хоть на минуту задумались о здоровье коллег?,Vida profissional,relações no trabalho,O desconfinamento,Um funcionário doente,Seu gerente,O Embromador é um funcionário com Covid e está atualmente confinado.,"Não apoiando mais seu ambiente familiar, ele deve convencer seu gerente a deixá-lo voltar ao escritório.",Você já pensou na saúde de seus colegas por um minuto?,,,,حياة مهنية,العلاقات في العمل,رفع الحجر,موظف مريض,مسؤوله,البرّاق موظف مصاب بكوفيد، وهو حاليًا في الحجر.,بعد أن ضاق ذرعًا بأجواء عائلته، عليه أن يقنع مسؤوله بالسماح له بالعودة إلى العمل في المكتب.,هل فكرتَ لحظةً في صحة زملائك؟,vida profesional,relaciones laborales,El desconfinamiento,Un empleado enfermo,Su responsable,El baratinador es un empleado con covid y actualmente confinado.,"Incapaz de soportar más su entorno familiar, debe convencer a su responsable de dejarlo volver a trabajar en la oficina.",¿Se ha pensado un minuto en la salud de los compañeros?,职业生活,职场关系,解封复工,一名生病员工,他的主管,花言巧语者是一名感染新冠、目前正在隔离的员工。,他实在受不了家里的环境，必须说服主管允许他回办公室上班。,你有哪怕一分钟想过同事们的健康吗？,زندگی حرفه‌ای,روابط در محیط کار,پایان قرنطینه,یک کارمند بیمار,مسئولش,چرب‌زبان کارمندی است که به کووید مبتلا شده و فعلاً در قرنطینه است.,چون دیگر تحمل فضای خانوادگی‌اش را ندارد، باید مسئولش را قانع کند اجازه بدهد به دفتر برگردد و کار کند.,حتی یک لحظه به سلامت همکارانت فکر کرده‌ای؟
4.2.6,"4,0206",vie professionnelle,relations au travail,Projet en marbre,Un membre du comité corrompu,Un autre membre du comité,Le baratineur est membre d'un comité corrompu et veut détourner des fonds vers un projet personnel.,Il doit convaincre ses collègues que le projet proposé n'est pas justifié et que les fonds devraient être alloués ailleurs.,Sommes-nous prêts à passer à côté de cette opportunité ?,,Professional life,Workplace relations,Project Set in Stone,A corrupt committee member,Another committee member,The smooth talker is a member of a corrupt committee and needs to divert funds to a personal project.,He must convince his colleagues that the proposed project isn't justified and that the funds should be allocated elsewhere.,Are we ready to let this opportunity slip away?,Профессиональная жизнь,Отношения на работе,Проект в мраморе,Коррумпированный член комитета,Другой член комитета,Болтун состоит в коррумпированном комитете и хочет увести средства на личный проект.,"Он должен убедить коллег, что предложенный проект не оправдан и деньги стоит направить куда-то еще.",Мы правда готовы упустить такую возможность?,Vida profissional,relações no trabalho,Projeto em mármore,Um membro do comité corrupto,Outro membro do comité,O Embromador é membro de um comité corrupto e tem de desviar os fundos para um projeto pessoal.,Tem de convencer os colegas de que o projeto proposto não se justifica e de que os fundos devem ser atribuídos a outro fim.,Estamos dispostos a deixar escapar esta oportunidade?,,,,حياة مهنية,العلاقات في العمل,مشروع من رخام,عضو فاسد في اللجنة,عضو آخر في اللجنة,البرّاق عضو في لجنة فاسدة، وعليه أن يختلس الأموال لصالح مشروع شخصي.,عليه أن يقنع زملاءه بأن المشروع المقترح غير مبرر، وأن الأموال ينبغي تخصيصها لوجهة أخرى.,هل نحن مستعدون لتفويت هذه الفرصة؟,vida profesional,relaciones laborales,Proyecto de mármol,Un miembro corrupto del comité,Otro miembro del comité,El baratinador es miembro de un comité corrupto y debe desviar los fondos hacia un proyecto personal.,Debe convencer a sus colegas de que el proyecto propuesto no está justificado y de que los fondos deberían asignarse a otra parte.,¿Estamos dispuestos a dejar pasar esta oportunidad?,职业生活,职场关系,大理石项目,一名腐败委员会成员,另一名委员会成员,花言巧语者是一个腐败委员会的成员，必须把资金挪作个人项目。,他必须说服同事们，拟议项目并不合理，资金应当拨到别处。,我们真的准备好错过这个机会吗？,زندگی حرفه‌ای,روابط در محیط کار,پروژه مرمرین,یکی از اعضای فاسد کمیته,یکی دیگر از اعضای کمیته,چرب‌زبان عضو یک کمیته فاسد است و باید بودجه‌ها را به نفع یک پروژه شخصی منحرف کند.,او باید همکارانش را قانع کند که پروژه پیشنهادی توجیه ندارد و بودجه باید جای دیگری تخصیص یابد.,آیا آماده‌ایم این فرصت را از دست بدهیم؟
4.2.7,"4,0207",vie personnelle,relations au travail,La promotion ratée,Le collègue ambitieux,Le patron,Le baratineur a saboté le travail d'un collègue pour obtenir une promotion. Le patron a découvert la supercherie.,Il doit se justifier auprès de son patron pour éviter d'être renvoyé.,Comment justifiez-vous une telle action ?,,Personal life,Workplace relations,The Botched Promotion,The ambitious colleague,The boss,The smooth talker sabotaged a colleague's work to land a promotion. The boss has uncovered the scheme.,The smooth talker must justify himself to the boss to avoid being fired.,How do you justify something like that?,Частная жизнь,Отношения на работе,Проваленное повышение,Амбициозный коллега,Босс,"Болтун саботировал работу коллеги, чтобы получить повышение. Босс раскрыл обман.","Болтун должен оправдаться перед боссом, чтобы его не уволили.",И как вы объясните такой поступок?,Vida pessoal,relações no trabalho,A promoção falhada,O colega ambicioso,O patrão,O Embromador sabotou o trabalho de um colega para conseguir uma promoção. O patrão descobriu o embuste.,O Embromador deve justificar-se perante o patrão para evitar ser despedido.,Como justifica uma ação dessas?,,,,حياة شخصية,العلاقات في العمل,الترقية الفاشلة,الزميل الطموح,المدير,خرّب الباراتينور عمل زميل له للحصول على ترقية. لكن المدير اكتشف الحيلة.,على الباراتينور أن يبرّر موقفه أمام المدير كي يتجنب الطرد.,كيف تبرّرون فعلة كهذه؟,vida personal,relaciones laborales,El ascenso fallido,El colega ambicioso,El jefe,El embaucador ha saboteado el trabajo de un colega para obtener un ascenso. El jefe ha descubierto la trampa.,Justificarse ante el jefe para evitar que lo despidan.,¿Cómo justificar una acción así?,个人生活,职场关系,升职泡汤,野心勃勃的同事,老板,忽悠者为了升职，暗中破坏了一位同事的工作。老板发现了这场骗局。,忽悠者必须向老板解释清楚，免得被炒鱿鱼。,你打算怎么为这种行为辩解？,زندگی شخصی,روابط در محیط کار,ترفیعِ از دست‌رفته,همکار جاه‌طلب,رئیس,چرب‌زبان برای گرفتن ترفیع، کار یکی از همکارانش را خراب کرده است. رئیس حقه را فهمیده است.,چرب‌زبان باید پیش رئیس خودش را توجیه کند تا اخراج نشود.,چطور چنین کاری را توجیه می‌کنید؟
4.2.8,"4,0208",vie professionnelle,relations au travail,Réveil compromis,Une personne quelconque,Son patron,"Le baratineur se réveille après une soirée bien arrosée qui lui a laissé peu de souvenirs. Dans le lit à ses côtés, il découvre son patron manifestement enchanté de la situation.",Le baratineur doit l'éconduire sans perdre son emploi.,"Alors, on se refait ça ?",Argumentum,Professional life,Workplace relations,Sofa downshift,You,Your Boss,"You wake up in bed with a bitter evening that has left you with few memories. In the bed next to you, you find your boss obviously delighted with the situation.",The smooth talker must rebuff him without losing his job.,"So, happy?",Профессиональная жизнь,Отношения на работе,Сюрприз на диване,Некто,Босс,"Болтун просыпается после вечеринки и ничего не помнит. В постели рядом с ним он обнаруживает своего босса, явно очарованного ситуацией.","Болтун должен избавиться от него, не потеряв работы.","Ну что, еще разок?",Vida profissional,relações no trabalho,Despertar comprometido,Alguém,O chefe dele,"O embromador acorda depois de uma noite bem regada, o que o deixou pequenas lembranças. Na cama ao seu lado, ele descobre seu chefe obviamente encantado da situação.",O embromador deve descartá-lo sem perder o emprego.,"Então, vamos repetir?",1,,,حياة مهنية,العلاقات في العمل,استيقاظ غير متوقع ومأزق حساس,شخص ما,مديره,يستيقظ الباراتينور بعد سهرة صاخبة عامرة بالشراب لم تترك له إلا ذكريات قليلة. وفي السرير إلى جانبه، يكتشف مديره وقد بدا مسرورًا جدًا بما جرى.,على الباراتينور أن يصدّه من دون أن يخسر وظيفته.,إذًا، نعيد الكرّة؟,vida profesional,relaciones laborales,Despertar imprevisto y compromiso delicado,Una persona cualquiera,Su jefe,"El embaucador se despierta después de una noche bien regada que le ha dejado pocos recuerdos. En la cama, a su lado, descubre a su jefe claramente encantado con la situación.",Rechazarlo sin perder el empleo.,"Entonces, ¿repetimos?",职业生活,职场关系,意外醒来与微妙妥协,某个普通人,其老板,忽悠者在一场喝得相当尽兴的夜晚之后醒来，记忆所剩无几。他发现老板正躺在自己身边，显然对眼下的状况心满意足。,忽悠者必须婉拒对方，同时还不能丢了工作。,那，我们再来一次？,زندگی حرفه‌ای,روابط در محیط کار,بیداریِ غیرمنتظره و مصالحه‌ای حساس,یک آدم معمولی,رئیسش,چرب‌زبان بعد از شبی حسابی پرنوش‌وپاش بیدار می‌شود؛ شبی که خاطره زیادی از آن برایش نمانده. کنار خودش در تخت، رئیسش را می‌بیند که آشکارا از اوضاع به‌وجد آمده است.,چرب‌زبان باید او را محترمانه رد کند، بی‌آنکه شغلش را از دست بدهد.,خب، دوباره تکرارش کنیم؟
4.3.1,"4,0301",vie professionnelle,gestion et administration,Ergo sum,Une licorne,Un éminent zoologue,Le baratineur est une licorne.,Il doit convaincre un éminent zoologue de l'inscrire sur la liste officielle des espèces menacées.,"Diantre, voilà que j'ai la berlue !",Argumentum,Professional life,Administration,Ergo sum,A unicorn,An eminent zoologist,You're a unicorn.,He must convince an eminent zoologist to include him on the official list of endangered species.,"My God, I'm so dizzy!",Профессиональная жизнь,Управление и администрация,"Следовательно, существую",Единорог,Выдающийся зоолог,Болтун-единорог.,Он должен убедить выдающегося зоолога зарегистрировать его в официальном списке исчезающих видов.,Черт подери! На меня нашло какое-то затмение!,Vida profissional,gestão e administração,Ergo sum,Um unicórnio,Um eminente zoólogo,O embromador é um unicórnio.,Ele deve convencer um zoólogo eminente a registrá-lo na lista oficial de espécies ameaçadas de extinção.,"Diabos, estou tendo alucinações!",1,,,حياة مهنية,الإدارة والتسيير,إرغو سوم,وحيد قرن,عالم حيوان مرموق,الباراتينور وحيدُ قرن.,عليه أن يقنع عالم حيوان مرموقًا بإدراجه في القائمة الرسمية للأنواع المهددة بالانقراض.,يا للهول، يبدو أنني صرت أرى أشياء!,vida profesional,gestión y administración,Ergo sum,Un unicornio,Un eminente zoólogo,El embaucador es un unicornio.,Convencer a un eminente zoólogo de inscribirlo en la lista oficial de especies amenazadas.,"¡Demonios, estoy viendo visiones!",职业生活,管理与行政,故我在,一只独角兽,一位著名动物学家,忽悠者是一只独角兽。,它必须说服一位著名动物学家，把自己列入官方濒危物种名录。,天哪，我这是眼花了吗！,زندگی حرفه‌ای,مدیریت و اداره,Ergo sum,یک تک‌شاخ,یک جانورشناس برجسته,چرب‌زبان یک تک‌شاخ است.,او باید یک جانورشناس برجسته را قانع کند که نامش را در فهرست رسمی گونه‌های در خطر انقراض ثبت کند.,یا حضرت عجب، نکند چشم‌هایم سیاهی می‌رود!
4.3.2,"4,0302",vie professionnelle,gestion et administration,L'arrêt de complaisance,Une personne quelconque,Son médecin,"Le baratineur n'est pas malade, mais il veut partir en vacances.",Il doit convaincre son médecin de famille de lui prescrire un arrêt maladie.,"Bon, vous m'avez l'air en pleine forme. Cela fera 25 €. Vous avez votre carte Vitale ?",Argumentum,Professional life,Administration,The stop of complacency,You,Your doctor,"You're not sick, but you want to go on holiday.",He must convince his family doctor to prescribe him sick leave.,"Well, you looked good to me. That'll be $25. Do you have your Vital card?",Профессиональная жизнь,Управление и администрация,Фальшивый больничный,Некто,Доктор,"Болтун не болен, но хочет сказаться больным и уехать в отпуск.",Он должен убедить своего семейного доктора дать ему больничный.,"Хорошо, вы в отличной форме. С вас 25 €. У вас есть страховка?",Vida profissional,gestão e administração,O atestado de favor,Alguém,Seu médico,"O embromador não está doente, mas ele quer sair de férias.",Ele deve convencer seu médico de família a detê-lo.,"Bom, você me parece em ótima forma. São 25 €. Você tem seu cartão Vitale?",1,1,,حياة مهنية,الإدارة والتسيير,إجازة مرضية بالمجاملة,شخص ما,طبيبه,الباراتينور ليس مريضًا، لكنه يريد الذهاب في عطلة.,عليه أن يقنع طبيب العائلة بمنحه إجازة مرضية.,حسنًا، تبدو في أتمّ صحة. سيكون الحساب 25 يورو. هل معك بطاقة التأمين الصحي؟,vida profesional,gestión y administración,La baja por complacencia,Una persona cualquiera,Su médico,"El embaucador no está enfermo, pero quiere irse de vacaciones.",Convencer a su médico de cabecera de darle la baja.,"Bueno, parece estar en plena forma. Serán 25 €. ¿Tiene su tarjeta sanitaria?",职业生活,管理与行政,人情病假条,某个普通人,其医生,忽悠者并没有生病，但他想去度假。,他必须说服家庭医生给自己开病假。,嗯，您看起来精神得很。诊费25欧元。您带医保卡了吗？,زندگی حرفه‌ای,مدیریت و اداره,مرخصی استعلاجیِ سفارشی,یک آدم معمولی,پزشکش,چرب‌زبان بیمار نیست، اما می‌خواهد به تعطیلات برود.,او باید پزشک خانوادگی‌اش را قانع کند که برایش مرخصی استعلاجی بنویسد.,خب، به‌نظر که کاملاً سرحالید. می‌شود ۲۵ یورو. کارت بیمه‌تان همراهتان هست؟
4.3.3,"4,0303",vie professionnelle,gestion et administration,La commande de trop,Un acheteur peu scrupuleux,Son fournisseur,"Le baratineur s'est fait livrer un stock de maillots de l'équipe nationale de football, donnée favorite pour la Coupe du monde.","Après l'élimination piteuse de l'équipe au premier tour, il doit convaincre son fournisseur de ne lui vendre que la moitié des maillots commandés.","Voilà, le camion est déchargé. Comment souhaitez-vous régler la facture ?",Argumentum,Professional life,Administration,Trop,An unscrupulous buyer,Its supplier,The smooth talker had a stock of the national football team jerseys delivered in anticipation of the World Cup where it was given favorite.,"After the team's pitiful elimination in the first round, he must convince his supplier to sell him only half of the jerseys ordered.","Here, the truck was discharged, how do you want to pay the bill?",Профессиональная жизнь,Управление и администрация,Лишний заказ,Недобросовестный покупатель,Поставщик,"Болтун заказал партию маек футбольной команды, подающей надежды на успех в чемпионате мира.","Команда со свистом вылетела с чемпионата в первом круге, и болтун должен обосновать поставщику, почему заплатит только за половину этих маек.","Вы заказывали грузовик маек, как хотите оплатить?",Vida profissional,gestão e administração,A encomenda a mais,Um comprador sem escrúpulos,Seu fornecedor,"O Embromador recebeu um estoque de camisas da seleção nacional de futebol, tida como favorita para a Copa do Mundo.","Após a eliminação lamentável da equipe na primeira rodada, ele deve convencer seu fornecedor a lhe vender apenas metade das camisas encomendadas.","Pronto, o caminhão foi descarregado. Como deseja pagar a fatura?",,,,حياة مهنية,الإدارة والتسيير,الطلبية الزائدة,مشترٍ قليل الذمة,مورّده,تسلّم الباراتينور مخزونًا من قمصان المنتخب الوطني لكرة القدم استعدادًا لكأس العالم، حيث كان يُعدّ المرشّح الأوفر حظًا.,يُقصى الفريق على نحو مخزٍ من الدور الأول، وعلى البائع أن يقنع مورّده بأنه لم يعد يريد شراء سوى نصف تلك القمصان.,حسنًا، أُفرغت الشاحنة. كيف تودّون تسوية الفاتورة؟,vida profesional,gestión y administración,El pedido de más,Un comprador con pocos escrúpulos,Su proveedor,"El baratinador recibió un lote de camisetas de la selección nacional de fútbol, previendo el Mundial en el que partía como favorita.","El equipo queda eliminado miserablemente en la primera ronda, y el revendedor debe convencer a su proveedor de que ya solo quiere comprar la mitad de esas camisetas.","Bueno, ya se descargó el camión, ¿cómo desea liquidar la factura?",职业生活,管理与行政,多出来的那一单,一个不太讲究的采购商,他的供应商,Baratineur 预判国家足球队会在世界杯上大热门夺冠，于是订了一大批国家队球衣，货已经送到了。,结果球队第一轮就惨兮兮出局了；这位转卖商必须说服供应商：他现在只想买下其中一半球衣。,好了，卡车已经卸完货了，您打算怎么结账？,زندگی حرفه‌ای,مدیریت و اداره,سفارشِ زیادی,یک خریدار بی‌وجدان,تأمین‌کننده‌اش,باراتینور پیشاپیش جام جهانی، جایی که تیم ملی فوتبال بخت اول قهرمانی به حساب می‌آمد، یک محموله پیراهن تیم را تحویل گرفته است.,تیم با افتضاح از دور اول حذف می‌شود، و فروشنده باید تأمین‌کننده‌اش را قانع کند که دیگر فقط نصف آن پیراهن‌ها را می‌خواهد بخرد.,خب، کامیون خالی شد؛ مایلید صورت‌حساب را چطور تسویه کنید؟
