source_dp,source_dotted,source_label,kind,verb_or_field,target,target_label,confidence,rationale,warns
"2,314",2.3.1.4,Appel à l'illusion perceptive,crossLink,IsRelatedTo,2.3.1.4.3,Manipulation photographique,0.7,Photographic manipulation is a specific way of altering sensory evidence to present a false reality.,
"2,314",2.3.1.4,Appel à l'illusion perceptive,crossLink,IsRelatedTo,2,Influence,0.66,The tactic persuades by manipulating perception rather than by providing rational support.,
"2,314",2.3.1.4,Appel à l'illusion perceptive,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"2,314",2.3.1.4,Appel à l'illusion perceptive,AIF_skosDirectRef,,Sign_Inference,,,skos:broadMatch,
"2,314",2.3.1.4,Appel à l'illusion perceptive,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:broadMatch,
"2,3141",2.3.1.4.1,Illusionnisme,crossLink,Leverages,2.3.1.4,Appel à l'illusion perceptive,0.95,Illusionnisme is a concrete use of perceptual artifices to distort what the audience takes to be real.,
"2,3141",2.3.1.4.1,Illusionnisme,crossLink,Mirrors,2.3.1.4.3,Manipulation photographique,0.72,"Both use sensory or visual deception to make a false representation appear true, though one is performative and the other image-based.",
"2,3141",2.3.1.4.1,Illusionnisme,crossLink,IsRelatedTo,2,Influence,0.62,The deception functions as influence by manipulating the audience’s acceptance rather than rationally convincing them.,
"2,3141",2.3.1.4.1,Illusionnisme,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"2,3141",2.3.1.4.1,Illusionnisme,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:broadMatch,
"2,3143",2.3.1.4.3,Manipulation photographique,crossLink,Leverages,2.3.1.4,Appel à l'illusion perceptive,0.93,Photographic manipulation is a concrete technique for distorting perceived reality through visual artifice.,
"2,3143",2.3.1.4.3,Manipulation photographique,crossLink,Leverages,2,Influence,0.72,Altered images can manipulate the audience’s perception rather than provide rational grounds for belief.,
"2,3143",2.3.1.4.3,Manipulation photographique,crossLink,IsRelatedTo,6,Tricherie,0.55,Using falsified images can amount to cheating in rational debate by fabricating apparent evidence.,
"2,3143",2.3.1.4.3,Manipulation photographique,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"2,3143",2.3.1.4.3,Manipulation photographique,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:broadMatch,
"2,315",2.3.1.5,Influence subconsciente,crossLink,Leverages,2.3.1,Conditionnement,0.82,Subconscious influence commonly works by conditioning associations between ideas and emotions without explicit awareness.,
"2,315",2.3.1.5,Influence subconsciente,crossLink,Leverages,2.3.1.5.2,Message subliminal,0.78,Subliminal messaging is a concrete mechanism for influencing someone below the threshold of awareness.,
"2,315",2.3.1.5,Influence subconsciente,crossLink,Leverages,2.3.1.5.1,Induction hypnotique,0.62,Hypnotic induction is a suggestive technique that can make a person more receptive without fully conscious scrutiny.,
"2,315",2.3.1.5,Influence subconsciente,crossLink,IsRelatedTo,2.3.1.6,Ingénierie sociale (politique),0.58,"Political social engineering may include subtle unconscious influence, though it is broader and socially targeted.",
"2,315",2.3.1.5,Influence subconsciente,AIF_skosDirectRef,,Bias_Inference,,,skos:broadMatch,
"2,3151",2.3.1.5.1,Induction hypnotique,crossLink,Leverages,2.3.1.5,Influence subconsciente,0.93,Hypnotic induction is a specific technique for exerting subconscious or preconscious influence on an audience.,bad_map:skos:relatedMatch
"2,3151",2.3.1.5.1,Induction hypnotique,crossLink,Mirrors,2.3.1.5.2,Message subliminal,0.72,"Both hypnosis and subliminal messaging use suggestion to bypass ordinary critical scrutiny, though hypnosis need not be imperceptible.",bad_map:skos:relatedMatch
"2,3151",2.3.1.5.1,Induction hypnotique,crossLink,Allows,2.3.1.5.1.1,Hypnose conversationnelle,0.86,Conversational hypnosis is a more specific deployment of hypnotic induction within ordinary dialogue.,bad_map:skos:relatedMatch
"2,3151",2.3.1.5.1,Induction hypnotique,crossLink,Leverages,2,Influence,0.78,The tactic manipulates receptivity rather than providing reasons that rationally support the claim.,bad_map:skos:relatedMatch
"2,3151",2.3.1.5.1,Induction hypnotique,AIF_skosDirectRef,,Bias_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
"2,31511",2.3.1.5.1.1,Hypnose conversationnelle,crossLink,IsRelatedTo,2.3.1.5.1,Induction hypnotique,0.95,Conversational hypnosis is a specific covert form of hypnotic induction through suggestion in ordinary dialogue.,
"2,31511",2.3.1.5.1.1,Hypnose conversationnelle,crossLink,Leverages,2,Influence,0.9,It aims to persuade by covert psychological influence rather than by offering reasons.,
"2,31511",2.3.1.5.1.1,Hypnose conversationnelle,crossLink,Leverages,5,Abus de langage,0.55,"It often operates through carefully framed conversational language and suggestive phrasing, though not all cases are merely linguistic ambiguity.",
"2,31511",2.3.1.5.1.1,Hypnose conversationnelle,AIF_skosDirectRef,,Dialogue_Scheme,,,skos:broadMatch,
"2,3152",2.3.1.5.2,Message subliminal,crossLink,Leverages,2.3.1.5,Influence subconsciente,0.95,A subliminal message is a specific technique that exploits subconscious influence.,bad_map:skos:relatedMatch
"2,3152",2.3.1.5.2,Message subliminal,crossLink,Mirrors,2.3.1.5.4,Effet Hans le malin,0.72,"Both involve barely perceptible cues altering an interlocutor’s behavior, but the Hans effect is typically unintended whereas subliminal messaging is deliberate.",bad_map:skos:relatedMatch
"2,3152",2.3.1.5.2,Message subliminal,crossLink,IsRelatedTo,2.3.1.5.1,Induction hypnotique,0.64,"Both use suggestion to bypass fully conscious deliberation, though hypnosis is a more explicit induction technique.",bad_map:skos:relatedMatch
"2,3152",2.3.1.5.2,Message subliminal,crossLink,Mirrors,2.3.1.5.3,Effet de l'expérimentateur,0.55,"Both concern behavioral influence through subtle cues, but the experimenter effect is generally unconscious rather than strategic.",bad_map:skos:relatedMatch
"2,3152",2.3.1.5.2,Message subliminal,AIF_skosDirectRef,,CauseToEffect_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
"2,3152",2.3.1.5.2,Message subliminal,AIF_skosDirectRef,,Sign_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
"2,3153",2.3.1.5.3,Effet de l'expérimentateur,crossLink,IsRelatedTo,2.3.1.5.4,Effet Hans le malin,0.88,Both concern unintentional cues or expectations from an experimenter/interactor influencing another person's responses.,
"2,3153",2.3.1.5.3,Effet de l'expérimentateur,crossLink,Leverages,2.3.1.5,Influence subconsciente,0.82,The experimenter effect operates through the broader mechanism of subtle subconscious influence.,
"2,3153",2.3.1.5.3,Effet de l'expérimentateur,AIF_skosDirectRef,,Bias_Inference,,,skos:closeMatch,
"2,3153",2.3.1.5.3,Effet de l'expérimentateur,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:closeMatch,
"2,3154",2.3.1.5.4,Effet Hans le malin,crossLink,Leverages,2.3.1.5,Influence subconsciente,0.9,"The Clever Hans effect is a specific case of subtle, unnoticed influence on an interlocutor's behaviour.",
"2,3154",2.3.1.5.4,Effet Hans le malin,crossLink,Mirrors,2.3.1.5.3,Effet de l'expérimentateur,0.82,"Both involve unconscious cues or expectations from an observer influencing the subject, though the Clever Hans effect focuses on cue-reading rather than experimental bias generally.",
"2,3154",2.3.1.5.4,Effet Hans le malin,crossLink,Mirrors,2.3.1.5.2,Message subliminal,0.55,"Both concern barely perceived signals altering behaviour, but subliminal messages are typically intentional whereas Clever Hans cues are involuntary.",
"2,3154",2.3.1.5.4,Effet Hans le malin,AIF_skosDirectRef,,Sign_Inference,,,skos:broadMatch,
"2,3154",2.3.1.5.4,Effet Hans le malin,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"2,3154",2.3.1.5.4,Effet Hans le malin,AIF_skosExceptionRef,,OtherCausalFactorsInvolved_Conflict,,,skos:broadMatch,
"2,3155",2.3.1.5.5,Appel à l'effet Linda,crossLink,Mirrors,2.3.1.5.2,Message subliminal,0.72,"Both involve barely perceptible or hidden signals, but the source asserts special perception rather than covert transmission.",
"2,3155",2.3.1.5.5,Appel à l'effet Linda,crossLink,Inverts,2.3.1.5.4,Effet Hans le malin,0.68,"Hans le malin concerns unintentional cue-giving, while the source concerns purported exceptional cue-reading.",
"2,3155",2.3.1.5.5,Appel à l'effet Linda,crossLink,IsRelatedTo,2.3.1.5.3,Effet de l'expérimentateur,0.55,"Claims of detecting hidden signs can be shaped by the arguer’s expectations, as in experimenter-effect bias.",
"2,3155",2.3.1.5.5,Appel à l'effet Linda,crossLink,IsRelatedTo,2.3.1.5,Influence subconsciente,0.6,The alleged hidden signals belong broadly to the family of subconscious or subtle influence phenomena.,
"2,3155",2.3.1.5.5,Appel à l'effet Linda,AIF_skosDirectRef,,Sign_Inference,,,skos:broadMatch,
"2,3155",2.3.1.5.5,Appel à l'effet Linda,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"2,3155",2.3.1.5.5,Appel à l'effet Linda,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:broadMatch,
"2,316",2.3.1.6,Ingénierie sociale (politique),crossLink,Leverages,2.3.1.1,Cadrage,0.76,Political social engineering often uses framing to set interpretive contexts that steer public conclusions.,
"2,316",2.3.1.6,Ingénierie sociale (politique),crossLink,Leverages,2.3.1.5,Influence subconsciente,0.82,The source centrally involves subtle influence that may operate without the audience clearly noticing it.,
"2,316",2.3.1.6,Ingénierie sociale (politique),crossLink,Leverages,2.3.1,Conditionnement,0.7,Social engineering can rely on conditioning by linking ideas with emotions to shift behavior and decisions.,
"2,316",2.3.1.6,Ingénierie sociale (politique),crossLink,Leverages,2.3.1.6.4,Sondage orienté,0.58,Biased or suggestive polling is a concrete political technique for manipulating public opinion within social engineering.,
"2,316",2.3.1.6,Ingénierie sociale (politique),AIF_skosDirectRef,,CauseToEffect_Inference,,,skos:broadMatch,
"2,316",2.3.1.6,Ingénierie sociale (politique),AIF_skosDirectRef,,Bias_Inference,,,skos:broadMatch,
"2,3161",2.3.1.6.1,Incitation douce,crossLink,Opposes,2.3.1.6.2,Interface truquée,0.78,"Incitation douce uses non-coercive choice architecture for beneficial ends, whereas dark patterns use deceptive design against users' interests.",
"2,3161",2.3.1.6.1,Incitation douce,crossLink,Mirrors,2.3.1.6.4,Sondage orienté,0.55,"Both shape choices by framing the decision context, though a biased poll manipulates expressed opinion rather than everyday behavior.",
"2,3161",2.3.1.6.1,Incitation douce,crossLink,IsRelatedTo,2.3.1.6,Ingénierie sociale (politique),0.9,Incitation douce is a specific form of subtle social or political behavior-shaping.,
"2,3161",2.3.1.6.1,Incitation douce,crossLink,Leverages,2,Influence,0.62,Nudging relies on influence mechanisms rather than coercive or purely argumentative persuasion.,
"2,3161",2.3.1.6.1,Incitation douce,AIF_skosDirectRef,,PracticalReasoning_Inference,,,skos:closeMatch,
"2,3161",2.3.1.6.1,Incitation douce,AIF_skosDirectRef,,PositiveConsequences_Inference,,,skos:closeMatch,
"2,3162",2.3.1.6.2,Interface truquée,crossLink,Inverts,2.3.1.6.1,Incitation douce,0.86,"Both use choice architecture, but incitation douce aims at beneficial non-coercive guidance whereas interface truquée steers users deceptively against their interests.",
"2,3162",2.3.1.6.2,Interface truquée,crossLink,IsRelatedTo,2.3.1.6,Ingénierie sociale (politique),0.9,Interface truquée is a concrete deceptive-design form of broader social engineering techniques for influencing behaviour.,
"2,3162",2.3.1.6.2,Interface truquée,crossLink,Mirrors,2.3.1.6.4,Sondage orienté,0.72,"Both manipulate decisions by structuring an interaction in a biased way, though one targets user actions and the other public opinion via questions.",
"2,3162",2.3.1.6.2,Interface truquée,crossLink,IsRelatedTo,2.3.1.6.2.1,Piège à clics,0.7,Clickbait is a closely related deceptive interface/content tactic that manipulates user attention and clicking behaviour.,
"2,3162",2.3.1.6.2,Interface truquée,AIF_skosDirectRef,,Bias_Inference,,,skos:broadMatch,
"2,3162",2.3.1.6.2,Interface truquée,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:broadMatch,
"2,31621",2.3.1.6.2.1,Piège à clics,crossLink,IsRelatedTo,2.3.1.6.2,Interface truquée,0.9,Le piège à clics est une forme particulière de conception trompeuse visant à provoquer un clic contre l’intérêt informationnel de l’utilisateur.,
"2,31621",2.3.1.6.2.1,Piège à clics,crossLink,Leverages,2,Influence,0.82,Il manipule l’attention et la curiosité de l’auditoire pour obtenir une action plutôt que convaincre par des raisons pertinentes.,
"2,31621",2.3.1.6.2.1,Piège à clics,crossLink,Leverages,5,Abus de langage,0.68,"Il repose souvent sur des formulations accrocheuses, ambiguës ou hyperboliques pour rendre le contenu artificiellement attractif.",
"2,3163",2.3.1.6.3,Culture de la peur,crossLink,Leverages,2,Influence,0.9,La culture de la peur persuade en manipulant émotionnellement l’auditoire plutôt qu’en apportant des raisons suffisantes.,
"2,3163",2.3.1.6.3,Culture de la peur,crossLink,IsRelatedTo,2.3.1.6,Ingénierie sociale (politique),0.82,C’est une technique d’ingénierie sociale visant à orienter les comportements collectifs par la peur.,
"2,3163",2.3.1.6.3,Culture de la peur,crossLink,Mirrors,2.3.1.6.4,Sondage orienté,0.55,"Comme le sondage orienté, elle cherche à façonner l’opinion publique, mais par rumeurs alarmistes plutôt que par questions biaisées.",
"2,3163",2.3.1.6.3,Culture de la peur,AIF_skosDirectRef,,FearAppeal_Inference,,,skos:closeMatch,
"2,3163",2.3.1.6.3,Culture de la peur,AIF_skosExceptionRef,,IrrationalFearAppeal_Conflict,,,skos:closeMatch,
"2,3164",2.3.1.6.4,Sondage orienté,crossLink,IsRelatedTo,2.3.1.6,Ingénierie sociale (politique),0.9,A biased or leading poll is a specific political social-engineering technique for shaping public decisions.,
"2,3164",2.3.1.6.4,Sondage orienté,crossLink,IsRelatedTo,2,Influence,0.85,The practice manipulates the audience through framing rather than offering rational persuasion.,
"2,3164",2.3.1.6.4,Sondage orienté,crossLink,Mirrors,2.3.1.6.2,Interface truquée,0.55,"Both rely on engineered choice architecture, though one uses survey wording and the other interface design.",
"2,3164",2.3.1.6.4,Sondage orienté,AIF_skosDirectRef,,Bias_Inference,,,skos:closeMatch,
"2,3211",2.3.2.1.1,Ingratiation,crossLink,Leverages,2.3.2.1,Charme personnel,0.86,Ingratiation is a specific use of personal charm to obtain assent or favors through excessive praise.,
"2,3211",2.3.2.1.1,Ingratiation,crossLink,Mirrors,2.3.2.1.3,Charme superficiel,0.72,"Both rely on surface-level interpersonal appeal rather than reasons, though ingratiation specifically uses flattery.",
"2,3211",2.3.2.1.1,Ingratiation,crossLink,Inverts,2.3.2.1.1.1,Vantardise,0.68,"Vantardise seeks admiration by praising oneself, while ingratiation seeks favor by praising the interlocutor.",
"2,3211",2.3.2.1.1,Ingratiation,crossLink,IsRelatedTo,2.3.2.1.1.2,Bombardement d'amour,0.62,"Both use exaggerated affection or approval to secure compliance, but love bombing is more intense and relational.",
"2,3211",2.3.2.1.1,Ingratiation,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,3211",2.3.2.1.1,Ingratiation,AIF_skosExceptionRef,,Bias_Inference,,,skos:broadMatch,
"2,32111",2.3.2.1.1.1,Vantardise,crossLink,IsRelatedTo,2.3.2.1.1.1.2,Fanfaronnade,0.92,"La fanfaronnade est la forme bruyante et souvent infondée de la vantardise, centrée sur l’exagération de ses exploits.",
"2,32111",2.3.2.1.1.1,Vantardise,crossLink,Mirrors,2.3.2.1.1.1.1,Mention de noms prestigieux,0.78,"La mention de noms prestigieux impressionne par prestige emprunté, tandis que la vantardise impressionne par prestige personnel.",
"2,32111",2.3.2.1.1.1,Vantardise,crossLink,IsRelatedTo,2.3.2.1.1.4,Recherche d'attention,0.62,"La vantardise peut servir à attirer l’attention et l’admiration, mais la recherche d’attention est plus générale.",
"2,32111",2.3.2.1.1.1,Vantardise,crossLink,IsRelatedTo,2.3.2.1.1,Ingratiation,0.55,"Les deux relèvent d’une stratégie d’influence sociale visant à se faire apprécier, mais l’ingratiation passe surtout par la flatterie d’autrui.",
"2,32111",2.3.2.1.1.1,Vantardise,AIF_skosDirectRef,,Ethotic_Inference,,,skos:closeMatch,
"2,321111",2.3.2.1.1.1.1,Mention de noms prestigieux,crossLink,IsRelatedTo,2.3.2.1.1.1,Vantardise,0.9,Name-dropping is a specific self-promotional tactic within the broader family of boasting.,
"2,321111",2.3.2.1.1.1.1,Mention de noms prestigieux,crossLink,IsRelatedTo,2.3.2.1.1.1.2,Fanfaronnade,0.65,"Both involve self-aggrandizement to impress an audience, though fanfaronnade centers more on exaggerated personal exploits.",
"2,321111",2.3.2.1.1.1.1,Mention de noms prestigieux,crossLink,Leverages,2,Influence,0.85,Name-dropping seeks persuasion by social prestige and trust-transfer rather than by relevant reasons.,
"2,321111",2.3.2.1.1.1.1,Mention de noms prestigieux,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,321112",2.3.2.1.1.1.2,Fanfaronnade,crossLink,IsRelatedTo,2.3.2.1.1.1,Vantardise,0.95,"Fanfaronnade is a more specific, louder or more exaggerated form of self-praise/vantardise.",
"2,321112",2.3.2.1.1.1.2,Fanfaronnade,crossLink,Mirrors,2.3.2.1.1.1.1,Mention de noms prestigieux,0.68,"Both seek to impress by enhancing perceived status, but name-dropping borrows prestige from others whereas fanfaronnade asserts one’s own greatness.",
"2,321112",2.3.2.1.1.1.2,Fanfaronnade,crossLink,Leverages,2,Influence,0.72,Fanfaronnade functions as a persuasive influence tactic by substituting self-glorification for substantive support.,
"2,321112",2.3.2.1.1.1.2,Fanfaronnade,crossLink,IsRelatedTo,1,Insuffisance,0.55,"Exaggerated self-claims are often offered without adequate evidence, making the support for the conclusion insufficient.",
"2,321112",2.3.2.1.1.1.2,Fanfaronnade,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,32112",2.3.2.1.1.2,Bombardement d'amour,crossLink,Leverages,2.3.2.1.1,Ingratiation,0.92,Love bombing is a specific way of ingratiating oneself through excessive affection or praise to gain compliance.,
"2,32112",2.3.2.1.1.2,Bombardement d'amour,crossLink,Leverages,2,Influence,0.84,It seeks persuasion by manipulating the audience’s feelings rather than by offering adequate reasons.,
"2,32112",2.3.2.1.1.2,Bombardement d'amour,crossLink,Mirrors,2.3.2.1.1.3,Larmes de crocodile,0.58,"Both use displayed emotion to influence listeners, though love bombing uses affection while crocodile tears use pity.",
"2,32112",2.3.2.1.1.2,Bombardement d'amour,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,32112",2.3.2.1.1.2,Bombardement d'amour,AIF_skosExceptionRef,,Bias_Inference,,,skos:broadMatch,
"2,32113",2.3.2.1.1.3,Larmes de crocodile,crossLink,Leverages,2,Influence,0.9,Feigning emotion is a paradigmatic way of manipulating the audience rather than providing reasons.,
"2,32113",2.3.2.1.1.3,Larmes de crocodile,crossLink,Mirrors,2.3.2.1.1.2,Bombardement d'amour,0.65,Both use staged or excessive affect to make others comply without adequate reasons.,
"2,32113",2.3.2.1.1.3,Larmes de crocodile,crossLink,IsRelatedTo,2.3.2.1.1,Ingratiation,0.55,"Both involve insincere self-presentation to win favor, though crocodile tears use pity rather than flattery.",
"2,32113",2.3.2.1.1.3,Larmes de crocodile,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,32114",2.3.2.1.1.4,Recherche d'attention,crossLink,Leverages,2.3.2.1.1.1,Vantardise,0.78,Attention-seeking often uses boasting or exaggerated self-presentation as a means to draw focus to oneself.,
"2,32114",2.3.2.1.1.4,Recherche d'attention,crossLink,Mirrors,2.3.2.1.1.3,Larmes de crocodile,0.62,"Both can involve performative self-display to influence the audience, though crocodile tears specifically rely on feigned emotion.",
"2,32114",2.3.2.1.1.4,Recherche d'attention,crossLink,IsRelatedTo,2,Influence,0.7,Seeking attention can function as persuasive manipulation of the audience rather than providing reasons.,
"2,32114",2.3.2.1.1.4,Recherche d'attention,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,3212",2.3.2.1.2,Flirt,crossLink,Leverages,2.3.2.1,Charme personnel,0.92,Flirt is a specific use of personal charm to obtain assent rather than provide reasons.,
"2,3212",2.3.2.1.2,Flirt,crossLink,IsRelatedTo,2.3.2.1.1,Ingratiation,0.72,"Both seek favorable disposition from the interlocutor, though ingratiation relies mainly on flattery rather than seduction.",
"2,3212",2.3.2.1.2,Flirt,crossLink,IsRelatedTo,2.3.2.1.3,Charme superficiel,0.76,"Both involve seductive or charismatic appearance used manipulatively, but flirtation is a more specific interpersonal tactic.",
"2,3212",2.3.2.1.2,Flirt,crossLink,Leverages,2,Influence,0.7,Flirt operates as manipulative influence that diverts judgment instead of supporting the claim rationally.,
"2,3212",2.3.2.1.2,Flirt,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,3212",2.3.2.1.2,Flirt,AIF_skosDirectRef,,Bias_Inference,,,skos:broadMatch,
"2,3213",2.3.2.1.3,Charme superficiel,crossLink,Leverages,2.3.2.1.1,Ingratiation,0.86,"Superficial charm often operates through insincere praise and flattery, which is precisely the mechanism of ingratiation.",
"2,3213",2.3.2.1.3,Charme superficiel,crossLink,Leverages,2.3.2.1.2,Flirt,0.78,"When the charm takes a seductive form, it exploits flirtation to bias the interlocutor’s judgment.",
"2,3213",2.3.2.1.3,Charme superficiel,crossLink,IsRelatedTo,2.3.2.1,Charme personnel,0.9,Superficial charm is a specific manipulative variant of personal charm used to obtain assent.,
"2,3213",2.3.2.1.3,Charme superficiel,crossLink,Leverages,2,Influence,0.8,The tactic relies on interpersonal influence rather than rational persuasion.,
"2,3213",2.3.2.1.3,Charme superficiel,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,322",2.3.2.2,Prise de contrôle,crossLink,Leverages,2.3.2.2.1,Engagement,0.82,La prise de contrôle peut exploiter l’engagement ou la cohérence supposée de l’auditoire pour induire son comportement.,
"2,322",2.3.2.2,Prise de contrôle,crossLink,Leverages,2.3.2.4,Conditionnement social,0.68,Elle peut s’appuyer sur les normes et attentes sociales du groupe pour obtenir l’adhésion sans raisonnement.,
"2,322",2.3.2.2,Prise de contrôle,crossLink,IsRelatedTo,2.3.2,Jeu de pouvoir,0.74,"La prise de contrôle relève du jeu de pouvoir comme influence par ascendant psychologique, sans que le lien soit exprimable ici comme simple hiérarchie.",
"2,322",2.3.2.2,Prise de contrôle,AIF_skosDirectRef,,Commitment_Inference,,,skos:broadMatch,
"2,32211",2.3.2.2.1.1,Escalade d'engagement,crossLink,Leverages,2.3.2.2.1,Engagement,0.9,L’escalade d’engagement exploite le mécanisme général d’engagement comportemental de l’auditoire.,
"2,32211",2.3.2.2.1.1,Escalade d'engagement,crossLink,IsRelatedTo,2.3.2.2.1.2,Engagement induit,0.82,"Les deux procédés visent à induire progressivement une implication accrue, mais l’escalade insiste sur des demandes de plus en plus coûteuses.",
"2,32211",2.3.2.2.1.1,Escalade d'engagement,crossLink,IsRelatedTo,2.3.2.2.1.1.1,Pied-dans-la-porte,0.86,Le pied-dans-la-porte est une forme typique d’escalade où une petite acceptation prépare une demande plus importante.,
"2,32211",2.3.2.2.1.1,Escalade d'engagement,crossLink,Leverages,2,Influence,0.75,"Comme procédé persuasif non strictement argumentatif, l’escalade d’engagement relève d’une influence exercée sur le comportement plutôt que d’une preuve.",
"2,32211",2.3.2.2.1.1,Escalade d'engagement,AIF_skosDirectRef,,Commitment_Inference,,,skos:broadMatch,
"2,32211",2.3.2.2.1.1,Escalade d'engagement,AIF_skosDirectRef,,Gradualism_Inference,,,skos:broadMatch,
"2,322111",2.3.2.2.1.1.1,Pied-dans-la-porte,crossLink,Leverages,2.3.2.2.1.1,Escalade d'engagement,0.9,Le pied-dans-la-porte exploite une escalade d'engagement par passage d'une petite acceptation à une demande plus coûteuse.,
"2,322111",2.3.2.2.1.1.1,Pied-dans-la-porte,crossLink,IsRelatedTo,2.3.2.2.1.1.1.1,Pied-dans-la-porte implicite,0.85,Le pied-dans-la-porte implicite est une variante très proche visant aussi à obtenir un petit accord avant des requêtes plus importantes.,
"2,322111",2.3.2.2.1.1.1,Pied-dans-la-porte,crossLink,Mirrors,2.3.2.2.1.1.1.3,Tactique du salami,0.72,"La tactique du salami présente une structure progressive analogue, mais par accumulation de concessions mineures plutôt que par une première demande préparatoire.",
"2,322111",2.3.2.2.1.1.1,Pied-dans-la-porte,crossLink,IsRelatedTo,2.3.2.2.1.1.2,Amorçage,0.55,"L'amorçage mobilise aussi l'engagement initial pour faciliter une acceptation ultérieure, mais repose spécifiquement sur l'omission de détails dissuasifs.",
"2,322111",2.3.2.2.1.1.1,Pied-dans-la-porte,AIF_skosDirectRef,,Commitment_Inference,,,skos:broadMatch,
"2,322111",2.3.2.2.1.1.1,Pied-dans-la-porte,AIF_skosDirectRef,,Gradualism_Inference,,,skos:broadMatch,
"2,3221111",2.3.2.2.1.1.1.1,Pied-dans-la-porte implicite,crossLink,IsRelatedTo,2.3.2.2.1.1.1,Pied-dans-la-porte,0.95,"La variante implicite est une forme du pied-dans-la-porte, fondée sur l’acceptation initiale d’une petite demande.",
"2,3221111",2.3.2.2.1.1.1.1,Pied-dans-la-porte implicite,crossLink,Mirrors,2.3.2.2.1.1.1.3,Tactique du salami,0.78,Les deux tactiques procèdent par acceptations graduelles de demandes ou points mineurs menant à un objectif plus important.,
"2,3221111",2.3.2.2.1.1.1.1,Pied-dans-la-porte implicite,crossLink,IsRelatedTo,2,Influence,0.7,Le procédé relève d’une stratégie d’influence plutôt que d’une démonstration argumentative.,
"2,3221111",2.3.2.2.1.1.1.1,Pied-dans-la-porte implicite,AIF_skosDirectRef,,Commitment_Inference,,,skos:closeMatch,
"2,3221111",2.3.2.2.1.1.1.1,Pied-dans-la-porte implicite,AIF_skosDirectRef,,Gradualism_Inference,,,skos:closeMatch,
"2,3221113",2.3.2.2.1.1.1.3,Tactique du salami,crossLink,Leverages,2.3.2.2.1.1.1,Pied-dans-la-porte,0.9,The salami tactic relies on the foot-in-the-door mechanism of securing small commitments to facilitate acceptance of larger ones.,
"2,3221113",2.3.2.2.1.1.1.3,Tactique du salami,crossLink,Leverages,2.3.2.2.1.1.1.1,Pied-dans-la-porte implicite,0.82,It specifically exploits implicit incremental acceptance of minor demands as a route to a larger objective.,
"2,3221113",2.3.2.2.1.1.1.3,Tactique du salami,crossLink,IsRelatedTo,2,Influence,0.65,The tactic is a form of persuasive influence rather than a purely evidential argument.,
"2,3221113",2.3.2.2.1.1.1.3,Tactique du salami,AIF_skosDirectRef,,Gradualism_Inference,,,skos:closeMatch,
"2,322112",2.3.2.2.1.1.2,Amorçage,crossLink,Leverages,2.3.2.2.1.1,Escalade d'engagement,0.88,L’amorçage exploite l’engagement initial pour rendre plus difficile le retrait lorsque les détails défavorables apparaissent.,bad_map:skos:relatedMatch
"2,322112",2.3.2.2.1.1.2,Amorçage,crossLink,Mirrors,2.3.2.2.1.1.4,Leurre,0.78,"Comme le leurre, il attire par une offre favorable initiale, mais l’amorçage omet des coûts plutôt que de remplacer explicitement l’offre.",bad_map:skos:relatedMatch
"2,322112",2.3.2.2.1.1.2,Amorçage,crossLink,Mirrors,2.3.2.2.1.1.1,Pied-dans-la-porte,0.62,"Les deux techniques obtiennent d’abord une acceptation facile afin d’augmenter l’adhésion ultérieure, mais par des mécanismes différents.",bad_map:skos:relatedMatch
"2,322112",2.3.2.2.1.1.2,Amorçage,crossLink,IsRelatedTo,2,Influence,0.7,L’amorçage est une technique d’influence manipulatoire plutôt qu’un argument rationnel complet.,bad_map:skos:relatedMatch
"2,322112",2.3.2.2.1.1.2,Amorçage,AIF_skosDirectRef,,PositiveConsequences_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
