attacker_pk,attacker_label,family,subfamily,subsubfamily,decimal_path,attack_type,attacked_node_type,skos_direct_ref,skos_exception_ref,skos_mapping_type,expected_node_type,node_type_axiom_ok
131,Raisonnement critique solide,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3323000,undercut,RA-node,Argument from Bias,,"L'évaluation détecte-t-elle les biais, présupposés circulaires et erreurs logiques qui affaiblissent l'argument ?",RA-node,1
132,Abduction correcte,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3324000,undercut,RA-node,Argument from Cause to Effect,,L'hypothèse proposée est-elle la cause la plus plausible des faits observés plutôt qu'une simple corrélation ?,RA-node,1
133,Analogie correcte,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3325000,undercut,RA-node,Argument from Analogy,,Les ressemblances entre les cas sont-elles pertinentes et suffisantes pour transférer la conclusion ?,RA-node,1
134,Langage exact,Langage exact,,,5.0000000,undercut,RA-node,Argument from Verbal Classification,,Les termes clés sont-ils définis et employés dans le même sens précis et pertinent tout au long de l’argument ?,RA-node,1
135,Définitions claires,Langage exact,Définitions recevables,,5.1000000,undercut,RA-node,Argument from Verbal Classification,,"Le terme est-il défini de façon précise, cohérente et conforme à l’usage pertinent ?",RA-node,1
136,Acceptions claires,Langage exact,Définitions recevables,Acceptions claires,5.1100000,undercut,RA-node,Argument from Verbal Classification,,"Le terme est-il employé dans une acception claire, stable et non équivoque ?",RA-node,1
137,Langage précis,Langage exact,Définitions recevables,Acceptions claires,5.1110000,undermine,I-node,Argument from Verbal Classification,,La terminologie est-elle utilisée de manière cohérente et constante ?,I-node,1
138,Langage concis,Langage exact,Définitions recevables,Acceptions claires,5.1120000,undercut,RA-node,Argument from Verbal Classification,,La formulation est-elle assez complète sans devenir inutilement obscure ou surchargée ?,RA-node,1
139,Définition conforme,Langage exact,Définitions recevables,Définition conforme,5.1200000,undermine,I-node,Argument from Verbal Classification,,La définition est-elle conforme à l’usage établi et pertinent du terme ?,I-node,1
140,Terminologie technique,Langage exact,Définitions recevables,Définition conforme,5.1210000,undermine,I-node,Argument from Expert Opinion,,Le terme technique est-il employé conformément à l’usage reconnu par les spécialistes du domaine ?,I-node,1
141,Définition cohérente,Langage exact,Définitions recevables,Définition cohérente,5.1300000,undercut,RA-node,Argument from Verbal Classification,,La définition fixe-t-elle un sens non contradictoire et clairement applicable ?,RA-node,1
142,Comparaisons justifiées,Langage exact,Comparaisons justifiées,,5.2000000,undercut,RA-node,Argument from Analogy,,Les éléments comparés présentent-ils des ressemblances pertinentes et suffisantes malgré leurs différences ?,RA-node,1
143,Comparaison adéquate,Langage exact,Comparaisons justifiées,Comparaison adequate,5.2100000,undercut,RA-node,Argument from Analogy,,Les éléments comparés présentent-ils des similitudes pertinentes pour la conclusion ?,RA-node,1
144,Analogie appropriée,Langage exact,Comparaisons justifiées,Analogie appropriée,5.2200000,undercut,RA-node,Argument from Analogy,,La similitude invoquée justifie-t-elle réellement le transfert explicatif ou argumentatif ?,RA-node,1
145,Association pertinente,Langage exact,Comparaisons justifiées,Association pertinente,5.2300000,undercut,RA-node,Argument from Sign,,L’association invoquée constitue-t-elle un indice pertinent d’un lien logique réel ?,RA-node,1
146,Clarté linguistique,Langage exact,Clarté linguistique,,5.3000000,undercut,RA-node,Argument from Verbal Classification,,Les termes employés sont-ils suffisamment clairs et univoques pour soutenir la classification proposée ?,RA-node,1
147,Syntaxe claire,Langage exact,Clarté linguistique,Syntaxe claire,5.3100000,undercut,RA-node,Argument from Verbal Classification,,La structure de la phrase permet-elle une interprétation syntaxique claire et unique ?,RA-node,1
148,Grammaire correcte,Langage exact,Clarté linguistique,Syntaxe claire,5.3110000,undercut,RA-node,Argument from Verbal Classification,,La construction grammaticale soutient-elle un sens correct et non ambigu ?,RA-node,1
149,Ponctuation correcte,Langage exact,Clarté linguistique,Syntaxe claire,5.3120000,undercut,RA-node,Argument from Verbal Classification,,La ponctuation clarifie-t-elle correctement les relations logiques entre les segments du texte ?,RA-node,1
150,Expressions univoques,Langage exact,Clarté linguistique,Expressions univoques,5.3200000,undercut,RA-node,Argument from Verbal Classification,,L’expression transmet-elle un sens unique et déterminé dans le contexte ?,RA-node,1
151,Narration claire,Langage exact,Clarté linguistique,Narration claire,5.3300000,undercut,RA-node,Argument from Witness Testimony,,Le récit fournit-il un contexte suffisamment clair pour comprendre correctement les faits rapportés ?,RA-node,1
152,Honnêteté intellectuelle,Honnêteté intellectuelle,,,6.0000000,undercut,RA-node,Argument from Witness Testimony,,La source est-elle rapportée fidèlement et sans sélection biaisée des éléments pertinents ?,RA-node,1
153,Fidélité aux faits,Honnêteté intellectuelle,Fidélité aux faits,,6.1000000,undermine,I-node,Argument from Witness Testimony,,"Le témoignage ou l’énoncé factuel est-il exact, complet et corroboré par les faits disponibles ?",I-node,1
154,Vérité des faits,Honnêteté intellectuelle,Fidélité aux faits,Vérité des faits,6.1100000,undermine,I-node,Argument from Witness Testimony,,"Les faits rapportés sont-ils exacts, vérifiés et fidèles à la réalité ?",I-node,1
155,Attribution juste,Honnêteté intellectuelle,Fidélité aux faits,Attribution juste,6.1200000,undermine,I-node,Argument from Witness Testimony,,La source citée est-elle correctement identifiée et fidèlement rapportée ?,I-node,1
156,Considération équilibrée,Honnêteté intellectuelle,Fidélité aux faits,Considération équilibrée,6.1300000,undercut,RA-node,Argument from Bias,,La présentation des faits est-elle exempte de sélection partiale ou de cadrage orienté ?,RA-node,1
157,Considération nuancée,Honnêteté intellectuelle,Fidélité aux faits,Considération équilibrée,6.1310000,undercut,RA-node,Argument from Bias,,Les points de vue pertinents sont-ils pris en compte sans effacer les différences de valeur probante ?,RA-node,1
158,Divulgation intégrale,Honnêteté intellectuelle,Fidélité aux faits,Considération équilibrée,6.1320000,undermine,I-node,Argument from Witness Testimony,,Tous les faits nécessaires à une compréhension équitable ont-ils été divulgués ?,I-node,1
159,Clarté des enjeux,Honnêteté intellectuelle,Clarté des enjeux,,6.2000000,undercut,RA-node,Argument from Commitment,,"Les enjeux pertinents du débat sont-ils exposés loyalement, sans omission ni attribution trompeuse ?",RA-node,1
160,Exigence réaliste,Honnêteté intellectuelle,Clarté des enjeux,Exigence réaliste,6.2100000,undercut,RA-node,Argument from Rule,,"Les exigences posées sont-elles réalistes, explicites et appliquées équitablement ?",RA-node,1
161,Charge de la preuve,Honnêteté intellectuelle,Clarté des enjeux,Exigence réaliste,6.2110000,undercut,RA-node,Argument from Commitment,,Celui qui avance l'affirmation en fournit-il une preuve suffisante ?,RA-node,1
162,Niveau de preuve approprié,Honnêteté intellectuelle,Clarté des enjeux,Exigence réaliste,6.2120000,undercut,RA-node,Argument from Rule,,"Le niveau de preuve requis est-il clair, proportionné et identique pour les parties ?",RA-node,1
163,Positionnement clair,Honnêteté intellectuelle,Clarté des enjeux,Positionnement clair,6.2200000,undercut,RA-node,Argument from Commitment,,La position défendue est-elle formulée clairement et assumée de façon stable ?,RA-node,1
164,Objectif non complaisant,Honnêteté intellectuelle,Clarté des enjeux,Objectif non complaisant,6.2300000,undercut,RA-node,Argument from Rule,,Les mêmes critères d'évaluation sont-ils appliqués à soi-même et à l'adversaire ?,RA-node,1
165,Identifier les points de vigilance,Honnêteté intellectuelle,Clarté des enjeux,Objectif non complaisant,6.2310000,rebut,CA-node,Argument from Danger,,"Les risques invoqués sont-ils réels, pertinents et accompagnés de mesures proportionnées ?",CA-node,1
166,Conflits d'intérêts,Honnêteté intellectuelle,Clarté des enjeux,Objectif non complaisant,6.2311000,undercut,RA-node,Argument from Bias,,Les intérêts susceptibles d'influencer la position sont-ils reconnus et pris en compte ?,RA-node,1
167,Effort d'objectivité,Honnêteté intellectuelle,Effort d'objectivité,,6.3000000,undercut,RA-node,Argument from Bias,,"Les faits sont-ils établis avec impartialité, en tenant compte des biais possibles ?",RA-node,1
168,Universalisme,Honnêteté intellectuelle,Effort d'objectivité,Universalisme,6.3100000,undercut,RA-node,Argument from Values,,Les valeurs invoquées peuvent-elles être défendues au-delà d'un point de vue particulier ou partisan ?,RA-node,1
169,Reconnaître ses biais,Honnêteté intellectuelle,Effort d'objectivité,Universalisme,6.3110000,undercut,RA-node,Argument from Bias,,Mes propres biais susceptibles d'affecter le jugement ont-ils été identifiés ?,RA-node,1
170,Comprendre les biais d'autrui,Honnêteté intellectuelle,Effort d'objectivité,Universalisme,6.3120000,undercut,RA-node,Argument from Bias,,Les biais possibles de l'interlocuteur sont-ils compris sans disqualifier abusivement sa position ?,RA-node,1
171,Conscience interculturelle,Honnêteté intellectuelle,Effort d'objectivité,Conscience interculturelle,6.3200000,undercut,RA-node,Argument from Bias,,Les différences culturelles pertinentes sont-elles prises en compte sans relativiser indûment la vérité ?,RA-node,1
172,Reconnaître ses biais culturels,Honnêteté intellectuelle,Effort d'objectivité,Conscience interculturelle,6.3210000,undercut,RA-node,Argument from Bias,,L'influence de ma culture sur mon jugement a-t-elle été reconnue et corrigée ?,RA-node,1
173,Comprendre les biais culturels d’autrui,Honnêteté intellectuelle,Effort d'objectivité,Conscience interculturelle,6.3220000,undercut,RA-node,Argument from Bias,,Les biais culturels d'autrui sont-ils pris en compte sans réduire son argument à son origine ?,RA-node,1
174,Mettre les idéologies à distance,Honnêteté intellectuelle,Effort d'objectivité,Mise à distance des idéologies,6.3300000,undercut,RA-node,Argument from Bias,,L'argument est-il évalué indépendamment de l'adhésion préalable à une idéologie ?,RA-node,1
175,Reconnaître ses biais idéologiques,Honnêteté intellectuelle,Effort d'objectivité,Mise à distance des idéologies,6.3310000,undercut,RA-node,Argument from Bias,,Mes convictions idéologiques susceptibles d'influencer mon jugement ont-elles été reconnues ?,RA-node,1
176,Tenir compte des biais idéologiques,Honnêteté intellectuelle,Effort d'objectivité,Mise à distance des idéologies,6.3320000,undercut,RA-node,Argument from Bias,,Les biais idéologiques des parties sont-ils contextualisés sans servir à les discréditer d'avance ?,RA-node,1
177,Acceptation de l'incertitude,Honnêteté intellectuelle,Effort d'objectivité,Mise à distance des idéologies,6.3330000,undercut,RA-node,Argument from Sign,,Le degré d'incertitude est-il reconnu et traité par des probabilités fiables plutôt que par une certitude feinte ?,RA-node,1
178,Démarche scientifique,Honnêteté intellectuelle,Effort d'objectivité,Mise à distance des idéologies,6.3331000,undercut,RA-node,Argument from Cause to Effect,,L'hypothèse est-elle testée par une méthode empirique fiable établissant correctement les relations pertinentes ?,RA-node,1
179,Échange enrichissant,Échange enrichissant,,,7.0000000,undercut,RA-node,Argument from Commitment,,"L’interlocuteur répond-il effectivement à l’engagement ou à la question en discussion, plutôt que de déplacer le sujet ?",RA-node,1
180,Contribution positive,Échange enrichissant,Contribution positive,,7.1000000,undercut,RA-node,Argument from Commitment,,La contribution apporte-t-elle des raisons substantielles qui répondent réellement à la discussion ?,RA-node,1
181,Réalité objective,Échange enrichissant,Contribution positive,Reconnaissance d'une réalité objective,7.1100000,undercut,RA-node,Argument from Sign,,"Les faits invoqués sont-ils objectifs, vérifiables et pertinents pour la conclusion ?",RA-node,1
182,Explications suffisantes,Échange enrichissant,Contribution positive,Explications suffisantes,7.1200000,undercut,RA-node,Argument from Cause to Effect,,L'explication fournie établit-elle clairement le lien pertinent sans obscurcir inutilement la discussion ?,RA-node,1
183,Justifications explicites,Échange enrichissant,Contribution positive,Explications suffisantes,7.1210000,undercut,RA-node,Argument from Commitment,,Les raisons qui engagent l'énonciateur en faveur de sa proposition sont-elles explicites et discutables ?,RA-node,1
184,Preuves suffisantes,Échange enrichissant,Contribution positive,Explications suffisantes,7.1220000,undercut,RA-node,Argument from Witness Testimony,,Les preuves avancées sont-elles suffisantes et proportionnées pour rendre la proposition acceptable ?,RA-node,1
185,Prémisses réfutables,Échange enrichissant,Contribution positive,Explications suffisantes,7.1230000,undercut,RA-node,Argument from Commitment,,Les prémisses peuvent-elles être contestées et soumises à l'examen critique commun ?,RA-node,1
186,Ouverture au dialogue,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1300000,undercut,RA-node,Argument from Commitment,,L'interlocuteur prend-il réellement en compte les objections et perspectives adverses ?,RA-node,1
187,Recherche de la vérité,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1310000,undercut,RA-node,Argument from Bias,,L'évaluation des arguments est-elle menée sans sélection partiale ni biais dominant ?,RA-node,1
188,Quête de consensus,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1311000,undercut,RA-node,Argument from Commitment,,Les participants cherchent-ils une issue acceptable pour tous plutôt qu'une imposition ou une fuite ?,RA-node,1
189,Suspension du jugement,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1320000,undercut,RA-node,Argument from Sign,,"Les données disponibles justifient-elles déjà la conclusion, ou faut-il suspendre le jugement ?",RA-node,1
190,Écoute active,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1321000,undercut,RA-node,Argument from Commitment,,La réponse montre-t-elle que la position de l'autre a été comprise avant d'être discutée ?,RA-node,1
191,Empathie,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1321100,undercut,RA-node,Argument from Bias,,L'attitude envers l'interlocuteur permet-elle d'évaluer ses raisons sans hostilité ni disqualification préalable ?,RA-node,1
192,Principe de faillibilité,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1330000,undercut,RA-node,Argument from Commitment,,L'engagement défendu reste-t-il révisable à la lumière de raisons meilleures ?,RA-node,1
193,Identifier ses biais,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1331000,undercut,RA-node,Argument from Bias,,Les biais susceptibles d'affecter le jugement ont-ils été reconnus et corrigés ?,RA-node,1
194,Reconnaître ses erreurs,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1332000,undercut,RA-node,Argument from Commitment,,L'interlocuteur reconnaît-il les engagements erronés et les corrige-t-il dans la discussion ?,RA-node,1
195,Cerner les limites d'un argument,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1333000,undercut,RA-node,Argument from Commitment,,Les limites de portée de l'argument sont-elles clairement reconnues et respectées ?,RA-node,1
196,Ouverture au changement,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1340000,undercut,RA-node,Argument from Commitment,,La position est-elle effectivement révisée lorsque de nouvelles raisons pertinentes l'exigent ?,RA-node,1
197,Principe de résolution,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1341000,undercut,RA-node,Argument from Rule,,Les parties acceptent-elles la règle commune selon laquelle un raisonnement concluant doit résoudre le désaccord ?,RA-node,1
198,Recherche de compromis,Échange enrichissant,Contribution positive,Disponibilité au dialogue,7.1342000,undercut,RA-node,Argument from Values,,Les concessions proposées respectent-elles équitablement les valeurs et intérêts pertinents des parties ?,RA-node,1
199,Participation efficace,Échange enrichissant,Participation efficace,,7.2000000,undercut,RA-node,Argument from Commitment,,"La participation fait-elle avancer le débat de façon pertinente, claire et coopérative ?",RA-node,1
200,Respect du sujet,Échange enrichissant,Participation efficace,Adhérence au sujet,7.2100000,undercut,RA-node,Argument from Commitment,,L'interlocuteur traite-t-il effectivement le sujet auquel il s'est engagé ?,RA-node,1
201,Principe de clarté,Échange enrichissant,Participation efficace,Adhérence au sujet,7.2110000,undercut,RA-node,Argument from Verbal Classification,,Les termes et distinctions employés rendent-ils la thèse clairement compréhensible ?,RA-node,1
202,Éviter les digressions,Échange enrichissant,Participation efficace,Adhérence au sujet,7.2120000,undercut,RA-node,Argument from Commitment,,La contribution reste-t-elle liée à la question principale en discussion ?,RA-node,1
203,Concentration sur l'essentiel,Échange enrichissant,Participation efficace,Concentration sur l'essentiel,7.2200000,undercut,RA-node,Argument from Sign,,Les éléments retenus sont-ils les signes pertinents pour trancher la question centrale ?,RA-node,1
204,Gérer le temps imparti,Échange enrichissant,Participation efficace,Concentration sur l'essentiel,7.2210000,undercut,RA-node,Argument from Consequences,,La priorité donnée aux points essentiels permet-elle d'atteindre utilement l'objectif du débat dans le temps disponible ?,RA-node,1
205,Principe de charité,Échange enrichissant,Participation efficace,Principe de charité,7.2300000,undercut,RA-node,Argument from Commitment,,L'argument adverse est-il interprété selon l'engagement le plus cohérent que son auteur peut raisonnablement soutenir ?,RA-node,1
206,Présomption de bonne foi,Échange enrichissant,Participation efficace,Principe de charité,7.2310000,undercut,RA-node,Argument from Bias,,Existe-t-il des raisons suffisantes de conclure que l'interlocuteur est de mauvaise foi ?,RA-node,1
207,Respect de la personne,Échange enrichissant,Respect de la personne,,7.3000000,undercut,RA-node,Argument from Bias,,La critique porte-t-elle sur l’argument plutôt que sur la disqualification de la personne ?,RA-node,1
208,Évaluation loyale de la position adverse,Échange enrichissant,Respect de la personne,Evaluation raisonnable de la position adverse,7.3100000,undercut,RA-node,Argument from Commitment,,La critique vise-t-elle la position réellement défendue par l'interlocuteur ?,RA-node,1
209,Critique axée sur les arguments,Échange enrichissant,Respect de la personne,Evaluation raisonnable de la position adverse,7.3110000,undercut,RA-node,Argument from Commitment,,La critique porte-t-elle sur les raisons avancées plutôt que sur la personne qui les avance ?,RA-node,1
210,Reconnaissance de la position adverse,Échange enrichissant,Respect de la personne,Evaluation raisonnable de la position adverse,7.3120000,undercut,RA-node,Argument from Commitment,,La position attribuée à l'interlocuteur correspond-elle fidèlement à ses engagements explicites ?,RA-node,1
211,Réfutation respectueuse,Échange enrichissant,Respect de la personne,Evaluation raisonnable de la position adverse,7.3130000,undercut,RA-node,Argument from Commitment,,La réfutation répond-elle précisément aux engagements réels de l'argument adverse ?,RA-node,1
212,Respect de l’origine des idées,Échange enrichissant,Respect de la personne,Respect de l'origine des idées,7.3200000,undercut,RA-node,Argument from Commitment,,L'origine d'une idée est-elle reconnue sans remplacer l'évaluation de son contenu ?,RA-node,1
213,Principe de non-disqualification,Échange enrichissant,Respect de la personne,Respect de l'origine des idées,7.3210000,undercut,RA-node,Argument from Bias,,L'origine ou l'affiliation invoquée suffit-elle réellement à invalider l'argument ?,RA-node,1
214,Valorisation de la provenance,Échange enrichissant,Respect de la personne,Respect de l'origine des idées,7.3220000,undercut,RA-node,Argument from Witness Testimony,,La provenance de l'idée est-elle attribuée fidèlement et utilisée de façon pertinente ?,RA-node,1
215,Collaboration argumentative,Échange enrichissant,Respect de la personne,Respect de l'origine des idées,7.3230000,undercut,RA-node,Argument from Commitment,,Les participants construisent-ils ensemble à partir de leurs engagements communs plutôt que de bloquer l'échange ?,RA-node,1
216,Courtoisie dans le désaccord,Échange enrichissant,Respect de la personne,Courtoisie dans la divergence,7.3300000,undercut,RA-node,Argument from Commitment,,Le désaccord est-il exprimé de manière compatible avec la poursuite du dialogue ?,RA-node,1
217,Éviter les attaques personnelles,Échange enrichissant,Respect de la personne,Courtoisie dans la divergence,7.3310000,undercut,RA-node,Argument from Bias,,Les traits personnels invoqués sont-ils pertinents pour évaluer l'argument présenté ?,RA-node,1
218,Communication non violente,Échange enrichissant,Respect de la personne,Courtoisie dans la divergence,7.3311000,undercut,RA-node,Argument from Commitment,,La réponse respecte-t-elle l'interlocuteur tout en traitant le fond du désaccord ?,RA-node,1
219,Équité dans le dialogue,Échange enrichissant,Respect de la personne,Courtoisie dans la divergence,7.3320000,undercut,RA-node,Argument from Commitment,,Chaque participant dispose-t-il d'une possibilité équitable d'exprimer ses engagements ?,RA-node,1
220,Ne pas interrompre,Échange enrichissant,Respect de la personne,Courtoisie dans la divergence,7.3321000,undercut,RA-node,Argument from Commitment,,L'interlocuteur peut-il formuler complètement sa position avant qu'elle soit évaluée ?,RA-node,1
221,Ton respectueux,Échange enrichissant,Respect de la personne,Courtoisie dans la divergence,7.3330000,undercut,RA-node,Argument from Commitment,,Le ton employé permet-il de poursuivre l'examen rationnel du désaccord ?,RA-node,1
222,Engagement mutuel,Échange enrichissant,Respect de la personne,Courtoisie dans la divergence,7.3340000,undercut,RA-node,Argument from Commitment,,Les interlocuteurs restent-ils engagés dans une recherche commune de vérité ou de solution ?,RA-node,1
