PK,path,decimal_path,depth,Famille,Sous-Famille,Sous-sous-famille,état,carte,niveau,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,example_fr,Lxfr145,desc_en,Len115,example_en,Lxen145,Simple_name_Farsi,Text_Farsi,LTFarsi,link_Farsi,Description_Farsi,Len115,Example_Farsi,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
109,1.2.3.3.2.1,"1,23321",6,Insuffisance,Préjugé,Sophisme moraliste,,,,,Blasphème,9,,Blasphemy,9,,http://skepdic.com/blasphemy.html,Vous disqualifiez d'emblée tout argument dont vous considérez qu'il ne respecte pas vos convictions religieuses.,112,Massacrez ceux qui se moquent de l'Islam. ,42,Rejecting arguments on grounds of them being blasphemous,56,,,,,0,,,0,,,,,,,,,,circle,,,
110,1.2.3.3.2.2,"1,23322",6,Insuffisance,Préjugé,Sophisme moraliste,,,,,Manquement à l'étiquette,24,,Breach of etiquette,19,https://fr.wikipedia.org/wiki/A13%89tiquette_(code),https://en.wikipedia.org/wiki/Etiquette,Vous disqualifiez d'emblée tout argument dont vous considérez qu'il ne respecte pas les usages de la société dont vous êtes issu.,129,Cette plainte n'est pas recevable de cette manière. ,52,Rejecting arguments on grounds of them being expressed in a manner which does not conform to rules of etiquette.,112,,,,,0,,,0,,,,,,,,,,circle,,,
111,1.2.3.4,"1,234",4,Insuffisance,Préjugé,Sophisme moraliste,,,,,Formule sans fond,17,,Argument from form.,19,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/170/Style-Over-Substance,Le fait qu'un argument soit joliment exprimé suffit à vos yeux à en assurer la validité.,88,Une chaîne ne peut pas être plus solide que son maillon faible. ,64,"Judging arguments on their style rather than their substance, considering that good style is sign of soundness.",111,,,,,0,,,0,,,,,,,,,,circle,,,
112,1.2.3.4.1,"1,2341",5,Insuffisance,Préjugé,Sophisme moraliste,,,,,Argument téléologique,21,,Argument from design,20,,http://rationalwiki.org/wiki/Argument_from_design,Vous considérez que l'existence d'êtres ou d'objets semblant admirablement bien conçus suffit à prouver l'existence d'une entité divine créatrice.,146,,0,"Judging that something is so perfect that it must have been designed by a superior, dvine entity, thus proving the xistence of the latter.",138,,,,,0,,,0,,,"Ici, j'hésite entre 2 interprétations: soit X est tellement bien conçu que ça doit re dieu, donc dieu existe. Soit, ""X est tellement bien conçu que c'en est gage de vérité"". C'est la compréhension de ""design"" à cheval entre ""architecture/style"" et ""intention""...",,,,,,,circle,,,
113,1.2.3.4.1.1,"1,23411",6,Insuffisance,Préjugé,Sophisme moraliste,,,,,Appel à la beauté,17,,Argument from beauty,20,,http://rationalwiki.org/wiki/Argument_from_beauty,Vous considérez que l'existence d'êtres ou d'objets à l'esthétique selon vous parfaite suffit à prouver l'existence d'une entité divine créatrice.,146,La beauté des automnes me rapproche chaque année un peu plus de Dieu. ,70,"Judging that something is so beautiful that it must have been designed by a  superior, dvine entity, thus proving the existence of the latter.",142,,,,,0,,,0,,,,,,,,,,circle,,,
114,1.2.3.4.2,"1,2342",5,Insuffisance,Préjugé,Sophisme moraliste,,,,,Appel au droit,14,,Rights-to-ought fallacy / Appeal to Rights,42,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/157/Rights-To-Ought-Fallacy,La conformité de vos arguments avec la loi suffit à vos yeux à en assurer la validité.,86,Antigone,8,Considering the Right to do or express something grants it legitimacy or even optimality.,89,,,,,0,,,0,,,,,,,,,,circle,,,
115,1.2.3.5,"1,235",4,Insuffisance,Préjugé,Sophisme moraliste,,,,,Appel à l'argent,16,,Appeal to money,15,,https://rationalwiki.org/wiki/Appeal_to_money,Vous évaluez la validité d'une proposition à l'aune de l'état de la fortune de son auteur.,90,,0,Judging truth or validity on the quantity of money invloved.,60,,,,,0,,,0,,,"Argent a pour enfants richesse et pauvreté. mais la richesse et la pauvreté ne sont pas réductible à l'argent. Devrions-nous faire le distingo? De plus dans les définitions ci-dessous on parle de la richesse/pauvreté du speaker. On pourrait ajouter les arguments ""plus ça implique des thunes mieux c'est"" l'inverse.un genre de croissancisme ou décroissancisme.
Lien t vers appel aux émotions, jugement sur la personne, ",,,,,,,circle,,,
116,1.2.3.5.1,"1,2351",5,Insuffisance,Préjugé,Sophisme moraliste,,,,,Raison du plus riche,20,,Appeal to wealth,16,https://fr.wikipedia.org/wiki/Argumentum_ad_crumenam,https://en.wikipedia.org/wiki/Argumentum_ad_crumenam,Une proposition vous semble d'autant plus valide que son auteur est pourvu de bien.,83,"Si vous êtes si intelligent, pourquoi êtes vous si malheureux ?",63,Concluding that a statement is correct because the speaker is rich (or that a statement is incorrect because the speaker is poor).,130,,,,,0,,,0,,,,Argumentum ad crumenam,,,,,,circle,,,
117,1.2.3.5.2,"1,2352",5,Insuffisance,Préjugé,Sophisme moraliste,,,,,Raison du plus pauvre,21,,Appeal to poverty,17,https://fr.wikipedia.org/wiki/Argumentum_ad_lazarum,https://en.wikipedia.org/wiki/Argumentum_ad_lazarum,Une proposition vous semble d'autant plus valide que son auteur est dépourvu de bien.,85,"Si vous êtes si riches, pourquoi êtes vous si malheureux ?",58,"Judging that a conclusion is correct solely because the speaker is poor, or it is incorrect because the speaker is rich.",120,,,,,0,,,0,,,,Argumentum ad Lazarum,,,,,,circle,,,
118,1.3,"1,3",2,Insuffisance,Surinterprétation,,"Jesse OK
",1,,,Surinterprétation,17,,Overinterpretation,18,https://fr.wiktionary.org/wiki/surinterpr%C3%A9tation,https://en.wiktionary.org/wiki/overinterpretation,Vous tirez des conclusions exagérées des éléments dont vous disposez.,69,"Il ment, puisqu'il rougit.",26,Drawing conclusions which exceed what available evidence permits.,65,"He blushes, he's lying!",23,,,0,,,0,,0,,,,,,,,circle,démon qui lit (bof),,
119,1.3.1,"1,31",3,Insuffisance,Surinterprétation,"Sophisme
ludique","Jesse OK
",1,,,"Sophisme
ludique",16,,Ludic fallacy,13,,https://en.wikipedia.org/wiki/Ludic_fallacy,"Vous raisonnez sur la modélisation simpliste d'une réalité complexe, comme s'il s'agissait d'un jeu.",100,"Il s'est beaucoup entraîné sur l'ordinateur, il ne peut pas rater son permis de conduire.",89,"Modelling complex, real life situtations with rules of thumb that are too simple, reduced to the narrow world of games and dice. ",129,He carefully followed my advice. It's impossible for him to fail his job interview.,83,,,0,,,0,,0,"J'ai du mal avec cette catégorie, même si elle est justif par le lien EN.  Games and dice thinking? Jardin d'enfants? 
",,,,,,,circle,,,
120,1.3.1.1,"1,311",4,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Sophisme quantitatif,20,,Quantitative fallacy,20,,https://en.wikipedia.org/wiki/McNamara_fallacy,"Afin d'évaluer une situation, vous ne tenez compte que des données mesurables et ignorez les critères qualitatifs, par nature invérifiables selon vous.",151,Le nombre de chômeur a diminué au cours du semestre précédent. ,63,Judging a proposal or situation on the basis of the only quantitative criteria that are actually measurable..,109,,,,,0,,,0,,,,,,,,,,circle,,,
121,1.3.1.2,"1,312",4,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Biais rétrospectif,18,,Hindsight bias,14,https://fr.wikipedia.org/wiki/Biais_rA13%A9trospectif,https://en.wikipedia.org/wiki/Hindsight_bias,"Considérant un événement du passé, vous affirmez après coup qu'il était prévisible.",83,"Si les Egyptiens anciens avaient pu voter, ils auraient voté pour le Brexit. ",77,"Claiming, but only after it actually happenend, that an event was predictable.",78,,,,,0,,,0,,,,,,,,,,circle,,,
122,1.3.1.2.1,"1,3121",5,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Sophisme de l'historien,23,,Historian's fallacy,19,https://en.wikipedia.org/wiki/Historian%27s_fallacy,https://en.wikipedia.org/wiki/Historian%27s_fallacy,"Vous critiquez une décision prise dans le passé à la lumière de faits postérieurs, en semblant considérer que son auteur disposait à l'époque des mêmes informations que vous aujourd'hui.",186,"Si les Français avaient pu voter, ils auraient voté pour le Brexit. ",68,Analysing a past decision in the light of susequent facts.,58,,,,,0,,,0,,,,,,,,,,circle,,,
123,1.3.1.2.1.1,"1,31211",6,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Présentisme,11,,Presentism,10,,https://en.wikipedia.org/wiki/Presentism_(literary_and_historical_analysis),Vous analysez des faits du passé à l'aune d'idées et de concepts actuels inenvisageables à l'époque concernée.,110,,0,Anachronistically introducting present-day ideas and perspectives into depictions or interpretations of the past.,113,,,,,0,,,0,,,,nunc pro tunc,,,,,,circle,,,
1013,1.3.1.2.1.1.1,"1,312111",7,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Le sophisme Pierre à feu,,,The Flintstones Fallacy,23,http://www.academia.edu/2760517/The_Flintstones_Fallacy,,,0,,0,,0,,,,,0,,,0,,,,,,,,,,,,,
124,1.3.1.2.1.2,"1,31212",6,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Anachronisme,12,,Anachronism,11,https://fr.wikipedia.org/wiki/Anachronisme,https://en.wikipedia.org/wiki/Anachronism,"Dans votre analyse d'un fait passé, vous jugez de l'emploi à l'époque d'idées et de concepts qui alors n'existaient pas.",120,Shakespeare était un grand misogyne car il n'y avait jamais de femme sur sa scène. ,83,Judging people for their application of concepts or perspectives during periods of time when they were not in use.,114,,,,,0,,,0,,,"Pour anacronisme et anatopism, je retombe dans une difficulté assez courante: on travaille sur des arguments fallacieux ou des erreurs de raisonnement? Icic les liens vont vers des erreurs de pensée. Pour en faire des sophismes, je dois être créatif. Ai-je raison?",,,,,,,circle,,,
125,1.3.1.2.1.3,"1,31213",6,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Anatopisme,10,,Anatopism,9,,https://en.wikipedia.org/wiki/Anatopism,"Dans votre analyse d'un fait localisé, vous jugez de l'emploi d'idées et de concepts inconnus dans la zone concernée.",117,,0,Judging people for their application of concepts or perspectives in places where they were not in use.,102,,,,,0,,,0,,,,,,,,,,circle,,,
126,1.3.1.2.2,"1,3122",5,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Déterminisme rétrospectif,25,,Retrospective determinism,25,,https://en.wikipedia.org/wiki/Retrospective_determinism,Vous considérez après coup que les circonstances dans lesquelles s'est déroulé un événement en étaient la cause.,112,"A partir du moment où Jules César s'est déclaré empereur, il était destiné à être assassiné. ",93,"Inferring that because something happened under some circumstances, it was therefore bound to happen due to those circumstance.",127,,,,,0,,,0,,,,,,,"Petite étincelle engendre grand feu.""",,,circle,,,
127,1.3.1.2.3,"1,3123",5,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Clairvoyance rétroactive,24,,Retroactive clairvoyance,24,,http://skepdic.com/retroactiveclairvoyance.html,"Vous considérez après coup qu'un événement avait bel et bien été prédit, mais que la prophétie à l'époque n'avait pas été comprise.",131,La bourse va encore s'effondrer l'année prochaine. Nostradamus l'avait déjà prédit. ,84,"Claiming a posteriori that an event had been predicted, albeit in language obscure to be understood.",100,,,,,0,,,0,,,,,,,,,,circle,,,
128,1.3.1.3,"1,313",4,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Archaïsme,9,,Archaism,8,https://fr.wikipedia.org/wiki/ArchaA13%AFsme,,"Votre argument, censé s'appliquer à une situation présente, repose sur un terme dont le sens a changé ou sur un concept du passé inapplicable à l'époque actuelle.",162,,0,Relying on archaisms.,21,,,,,0,,,0,,,"Je ne vois pas ce qu'un archaïsme peut donner comme argu fallacieux. A vous!
",,,,,,,circle,,,
129,1.3.1.3.1,"1,3131",5,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Sophisme étymologique,21,,Etymological fallacy,20,,https://en.wikipedia.org/wiki/Etymological_fallacy,Votre argumentation repose sur l'origine ou l'ancienne définition d'un terme et non sur ce qu'il signifie aujourd'hui.,118,Pourtant le maître avait bien présenté ses excuses à l'esclave ?,64,Making a claim about the present meaning of a word on the exclusive basis of its etymology.,91,,,,,0,,,0,,,,,,,,,,circle,,,
130,1.3.1.4,"1,314",4,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,La pompe à intuitions,21,,Intuition pump,14,,http://rationalwiki.org/wiki/Intuition_pump,"Afin que votre auditoire appréhende plus facilement un concept, vous faites appel à son sentiment immédiat, à ses impressions plutôt qu'à sa raison.",148,"Si vous êtes dans un puit, et que quelqu'un tombe et menace de vous tuer, utilisez-vous votre pistolet ?",104,"building a simplified thought experiment in order to focus on the discussed point, but biasing it.",98,,,,,0,,,0,,,,,,,,,,circle,,,
131,1.3.1.5,"1,315",4,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Simplification abusive,22,,Réductive fallacy,17,,http://www.don-lindsay-archive.org/skeptic/arguments.html#reductive,"Pour convaincre votre auditoire, vous présentez votre argument sous la forme d'une courte formule aisée à comprendre, mais par nature incomplète et donc trompeuse.",163,"Les impôts, c'est du vol. ",26,Arguing on the basis of over-simplifying arguments.,51,,,,,0,,,0,,,,,,,,,,circle,,,
1004,1.3.1.5.1,"1,3151",5,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Angélisme,9,,Angelism,8,https://fr.wiktionary.org/wiki/ang%C3%A9lisme,https://en.wikipedia.org/wiki/Angelism,,0,,0,,0,,,,,0,,,0,,,,,,,,,,,,,
132,1.3.1.6,"1,316",4,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Sophisme de l'expérience déterminante,37,,Fallacy of the crucial experiment,33,,http://www.don-lindsay-archive.org/skeptic/arguments.html#crucial_experiment,"Vous considérez qu'il a suffi d'une découverte, fondamentale, pour démontrer toute une thèse.",93,Venez lire les résultats de la dernière enquêtes qui remettent en cause les plus grandes théories scientifiques. ,113,Claiming that some idea has been proved (or disproved) by a pivotal discovery.,78,,,,,0,,,0,,,,,,,,,,circle,,,
133,1.3.1.7,"1,317",4,Insuffisance,Surinterprétation,"Sophisme
ludique",,,,,Tromperie implicite,19,,Deceptive implication. ,23,,http://skepdic.com/falseimplication.html,"Bien que votre proposition soit rigoureusement exacte, vous la formulez de manière à ce qu'elle sous-entende une assertion qui, elle, est fausse.",145,Une portion contient 25% du calcium recommandé par jour (si consommé avec du lait qui contient le dit calcium).  ,113,Asserting a statement which may be clear and even true but which implies that something else is true or false when it isn't.,124,,,,,0,,,0,,,,,,,,5.3.3.1,,circle,,,
134,1.3.2,"1,32",3,Insuffisance,Surinterprétation,Mauvaises raisons,"Jesse OK
",2,,,Mauvaises raisons,17,,Bad reasons fallacy,19,,http://www.fallacyfiles.org/badreasn.html,Vous affirmez qu'une conclusion est fausse car la réflexion sur laquelle elle se fonde est sujette à caution.,109,"Cet homme a tout intérêt me vendre sa voiture, sa description du véhicule manque nécessairement d'objectivité: mieux vaut ne pas l'acheter.",139,Claiming that a conclusion is false because it is supported by an unconvincing argumentation.,93,"He would benefit so much from selling me his car, and he doesn't describe it objectively. I think I shouldn't buy it, there must be something wrong.",148,,,0,,,0,,0,"En fait c'est une catégorie qui regroupe (argument du sophisme, quid bono et motif). . c'est beaucoup plus large que le lien donné, je trouve (le lien pointe plus sur argument du sophisme, ""erreur de raisonnement donc conclusion fausse, qui devrait d'ailleur exister dans logique). J'ai défini de manière générale. De plus, quid bon et motif devraient être liés aux ad hominem, soph génétique et ad personam. Du coup je ne suis pas sûr qu'il y ait des liens pour cette catégorie....",,,,,,,circle,,,
135,1.3.2.1,"1,321",4,Insuffisance,Surinterprétation,Mauvaises raisons,"Jesse OK
",1,3,,Argument du Sophisme,20,,Argument from fallacy,21,https://nicomaque.com/la-philosophie/logique/les-sophismes/,https://en.wikipedia.org/wiki/Argument_from_fallacy,Vous affirmez qu'une conclusion est fausse car l'argumentation qui y mène est fallacieuse.,90,Il m'a dit d'emprunter la route qui descend sur la droite; or cette route est une montée. Tournons plutôt à gauche.,115,Arguing that a conclusion is false because its proof involves a fallacy.,72,"He told us to go upwards, turning right, but the right side is going downwards. That means we should turn left.",111,,,0,,,0,,0,lien vers logique: sophismes syllogistiques. RMQ bien faire la différence entre sophisme et bad reasons (catégorie mère),Argumentum ad logicam,,,Il ne faut pas jeter le bébé avec l'eau du bain.,4.3.3,,circle,bébé avec l'eau du bain,,
136,1.3.2.1.1,"1,3211",5,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Analyse défaillante,19,,Argument from wrong explanation,31,,http://rationalwiki.org/wiki/Substituting_explanation_for_premise,Le fait qu'un phénomène soit expliqué de manière inexacte suffit à vos yeux à démontrer qu'il n'a pas eu lieu.,110,"Les tours du World Trade Center ne se sont pas effondrées sous le simple effet des avions, donc le 11 Septembre 2001 n'a pas eu lieu. ",134,Taking a flawed explanation for a phenomenon as evidence that the phenomenon did/does not occur at all.,103,,,,,0,,,0,,,,,,,,,,circle,,,
137,1.3.2.2,"1,322",4,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Appel au bénéficiaire,21,,Whom does it profit?,20,https://fr.wikipedia.org/wiki/Cui_bono,https://en.wikipedia.org/wiki/Cui_bono,"Sans juger de son bien-fondé, vous disqualifiez une proposition sous prétexte qu'elle favorise son auteur.",106,A qui profite le crime ?,24,"Discarding a proposal because it benefits its proponents, whithout considering its soundness.",93,,,,,0,,,0,,,,Cui Bono,,,,,,circle,,,
138,1.3.2.2.1,"1,3221",5,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Appel à la vénalité,19,,Follow the money,16,,https://en.wikipedia.org/wiki/Follow_the_money,"Sans juger de son bien-fondé, vous disqualifiez une proposition sous prétexte qu'elle favorise financièrement son auteur.",121,Le président n'a fait que renvoyer l'ascenseur aux multinationales. ,68,"Discarding a proposal on grounds that its proponents aim to earn money from it.
",80,,,,,0,,,0,,,,,,,,,,circle,,,
139,1.3.2.3,"1,323",4,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Appel à l'intention,19,,Argument from motives.,22,,https://en.wikipedia.org/wiki/Appeal_to_motive,"Sans juger de son bien-fondé, vous disqualifiez une proposition sous prétexte que les raisons qui poussent son auteur à l'énoncer sont critiquables.",148,Il veut construire l'école dans ce quartier pour qu'elle soit plus proche de leur domicile. ,92,Challenging a thesis by calling into question the motives of its proposer.,74,,,,,0,,,0,,,lien t ad hominem circonstancia,,,,,,,circle,,,
140,1.3.2.3.1,"1,3231",5,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Appel à la ligne éditoriale,27,,Argument from editor's intent.,30,,https://en.wikipedia.org/wiki/Authorial_intent#New_Criticism,"Sans juger de son bien-fondé, vous disqualifiez une proposition sous prétexte que le média qui l'a publiée véhicule des valeurs qui vous semblent contestables.",159,"Depuis que la droite est passée au pouvoir, ce journal a perdu beaucoup de sa vigueur. ",87,Criticizing the editorial intent of the media in which an argumentation is published rather than the argumentation itself.,122,,,,,0,,,0,,,à la limite de l'anecdotique. on peut l'enlever à mon avis.,,,,,,,circle,,,
141,1.3.2.3.2,"1,3232",5,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Procès d'intention,18,,"Inputation of hidden motives
",29,https://fr.wikipedia.org/wiki/ProcA13%A8s_d%27intention,,"Sans juger de son bien-fondé, vous disqualifiez une proposition sous prétexte qu'elle serait utilisée par son auteur à des fins personnelles non explicitement reconnues.",169,"Si elle a acheté ces bonbons, c'est pour empoisonner les enfants. ",66,Accusing the proponents of a thesis to support it in order to push a hidden agenda.,83,,,,,0,,,0,,,,,,,,,,circle,,,
142,1.3.2.3.3,"1,3233",5,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Sophisme psychogénétique,24,,Psychogenetic fallacy,21,,http://www.don-lindsay-archive.org/skeptic/arguments.html#psycho,"Sans juger de son bien-fondé, vous disqualifiez une proposition sous prétexte que les raisons qui poussent son auteur à l'énoncer sont d'ordre purement psychologique.",166,"Si les arabes aiment tant la drogue, c'est que ça leur achète la paix sociale. ",79,Challenging an argumentation by showing the psychological reasons for its proponents to develop it.,99,,,,,0,,,0,,,,,,,,,,circle,,,
143,1.3.2.3.3.1,"1,32331",6,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Appel à la colère,17,,Accusation of anger,19,,http://rationalwiki.org/wiki/Ad_iram,"Sans juger de son bien-fondé, vous disqualifiez une proposition en prétendant que son auteur est aveuglé par son courroux.",122,Peut-on vraiment faire confiance à un leader qui pleure comme un bébé ?,71,"Accusing one's opponent of being angry or holding their beliefs for anger-related reasons, which purportedly disproves their argument or diminishes its weight.
",160,,,,,0,,,0,,,,Argumentum ad iram,,,,,,circle,,,
144,1.3.2.3.3.1.1,"1,323311",7,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Colère provoquée,16,,Anger and weakness,18,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/StratagA13%A8me_XXVII,,Vous rendez furieux votre contradicteur afin de lui faire perdre ses moyens.,76,,0,Anger is weakness.,18,,,,,0,,,0,,,"Ce n'est pas du psychogenetique, ni même  du mauvaises raison c'est de la manipulation mentale. à dpéplacer.",,,,,2.2.2.2,,circle,,,
145,1.3.2.3.3.2,"1,32332",6,Insuffisance,Surinterprétation,Mauvaises raisons,,,,,Misogynie (argumentum ad feminam),33,,Ad feminam,10,,http://www.thefreedictionary.com/Argumentum+ad+feminam,"Sans juger de son bien-fondé, vous disqualifiez toute proposition énoncée par une femme.",88,Encore  une femme qui veut le beurre et l'argent du beurre. ,60,Arguing on the basis of the unreliability of women.,51,,,,,0,,,0,,,"A déplacer dans ad hominem. Ou bien affiner la définition: puisque c'est une femme elle a telle ou telle pattern psy qui l'amène à défendre cette thèse. Mais dans ce cas c'est trop spécifique, on l'enlève.",,,,,,,circle,,,
146,1.3.3,"1,33",3,Insuffisance,Surinterprétation,"Manque
de parcimonie","Jesse OK
",1,3,,"Manque
de parcimonie",20,,Lack of Parsimony,17,https://fr.wikipedia.org/wiki/Rasoir_d%27Ockham,https://en.wikipedia.org/wiki/Occam%27s_razor,Votre raisonnement est douteux car il ne va pas au plus simple ou au plus probable.,83,Où sont mes clefs ? Quelqu'un a dû me les voler. C'est une conspiration qui cherche à me rendre fou.,100,Proving a point with an overly complex argumentation. ,54,Where are my keys? Who stole my keys ?! Why is everyone against me?,67,,,0,,,0,,0,"
Jesse: Le lien sur le rasoir d'Ockham est le meilleur je crois
BEn: exemple bof: on ne voit pa sbien la conclusion prouvée par l'ajout (trop complexe il est vrai) de l'hypothèse du vol/ Proposition: Ajouter : ""tout le monde s'acharne sur moi.""",,,,rasoir d'Ockham,,,circle,,,
147,1.3.3.1,"1,331",4,Insuffisance,Surinterprétation,"Manque
de parcimonie",,,,,Manquement au rasoir d'Hanlon,29,,"Hanlon's razor failure
",23,,http://rationalwiki.org/wiki/Hanlon%27s_razor,"Vous analysez une mauvaise décision en invoquant des causes multiples et complexes, soupçonnant souvent une intervention de la malveillance là où la bêtise suffirait à expliquer l'erreur.
",188,"Ils cherchent les saboteurs, alors qu'il ne savent même pas faire marcher ce système. ",86,"Explaining bad choices by causes worse and more complex than others. For example, by malice instead of error.",109,Never attribute to malice that which can be adequately explained by stupidity,,,,0,,,0,,,,,,,,,,circle,,,
148,1.3.3.2,"1,332",4,Insuffisance,Surinterprétation,"Manque
de parcimonie",,,,,Manquement au principe de charité,33,,Failing the principle of charity,32,https://fr.wikipedia.org/wiki/Principe_de_charitA13%A9,https://en.wikipedia.org/wiki/Principle_of_charity,Vous cherchez à interpréter les propos de votre contradicteur avant même de les envisager rationnellement tels qu'ils sont énoncés.,131,,0,Not considering first the interpretation which grants the maximum rationality to what someone is saying.,104,,,,,0,,,0,,,,,,,,,,circle,,,
149,1.3.3.2.1,"1,3321",5,Insuffisance,Surinterprétation,"Manque
de parcimonie",ok,,,,Homme de paille,15,,Straw man,9,https://fr.wikipedia.org/wiki/A13%89pouvantail_(rhA13%A9torique),https://en.wikipedia.org/wiki/Straw_man,Vous caricaturez la position de votre contradicteur pour argumenter plus facilement contre lui.,95,Il est hors de question de monter le thermostat du chauffage à vingt et un degrés : je ne veux pas transformer notre appartement en serre tropicale !,149,"Attributing easily refutable claims to the opposing party, then disproving them easily.",87,,,,,0,,,0,,,"lien t
Trouver exemple non-politique",,"Vous refusez d'augmenter le budget de l'armée ? Soit, c'est votre affaire. Quant à moi, je refuse de laisser ainsi notre pays sans défense face à une menace grandissante.",You refuse to increase the defense budget. I don't want to stop protecting my own country.,,7.3.1.2,,circle,épouvantail prussien,,
150,1.3.3.3,"1,333",4,Insuffisance,Surinterprétation,"Manque
de parcimonie",,,,,Manquement au canon de Morgan,29,,"Unconformity with Morgan's canon.
",34,https://fr.wikipedia.org/wiki/Pathetic_fallacy,,Votre argumentation repose sur l'assimilation de certains comportements animaux à des manières d'être humaines.,111,"Si les fourmis y arrivent sans discuter, je vois pas pourquoi nous n'y arriverions pas. ",88,"Granting more rationality than necessary to animal behaviour, tthus risking to slip into anthropomorphic thinking.",114,,,,,0,,,0,,,Lien t aavec biais culturel (anthropomorphisme),,,,,,,circle,,,
151,1.3.3.3.1,"1,3331",5,Insuffisance,Surinterprétation,"Manque
de parcimonie",,,,,Sophisme animiste,17,,Animist fallacy,15,http://sophismes.free.fr/,,Vous attribuez aux êtres ou aux choses une qualité comparable à l'âme humaine.,78,,0,Granting human characteristics to other creatures or intentionality to inanimates,81,,,,,0,,,0,,,,,,,,,,circle,,,
152,1.3.3.3.1.1,"1,33311",6,Insuffisance,Surinterprétation,"Manque
de parcimonie",,,,,Sophisme pathétique,19,,Pathetic fallacy,16,https://fr.wikipedia.org/wiki/Pathetic_fallacy,https://en.wikipedia.org/wiki/Pathetic_fallacy,Vous attribuez des sentiments humains à des phénomènes naturels.,64,Que tone la langueur monotone de l'automne. ,44,Granting human emotions to animals or inanimates.,49,,,,,0,,,0,,,,,,,,,,circle,,,
153,1.3.3.4,"1,334",4,Insuffisance,Surinterprétation,"Manque
de parcimonie",,,,,Apophénie,9,,Apophenia,9,https://fr.wikipedia.org/wiki/Apoph%C3%A9nie,http://skepdic.com/apophenia.html,"Vous percevez entre différents phénomènes des liens qui n'existent pas dans la réalité, ce qui vous incite à attribuer un sens particulier à des événements fortuits.",165,Et c'est à ce moment là qu'est apparu le scarabée et que j'ai déterminé mon choix. ,83,Attributing meaning to perceived connections or patterns between seemingly unrelated things.,92,,,,,0,,,0,,,,,,,,,,circle,,,
154,1.3.3.5,"1,335",4,Insuffisance,Surinterprétation,"Manque
de parcimonie",,,,,Paréidolie,10,,Pareidolia,10,https://fr.wikipedia.org/wiki/ParA13%A9idolie,https://en.wikipedia.org/wiki/Pareidolia,"Vous associez à un stimulus visuel ambigu un élément clair et identifiable, prétendant ainsi donner un sens à un phénomène fortuit.",131,Ne vois-tu pas la Vierge Marie dans ce rocher ?,47,Perceiving a familiar pattern where none exists.,48,,,,,0,,,0,,,,,,,,,,circle,,,
155,2,2,1,Influence,,,"Jesse OK
",1,,,Influence,9,,Influence,9,https://fr.wikipedia.org/wiki/Influence_(psychologie),https://en.wikipedia.org/wiki/Social_influence,Vous manipulez votre auditoire pour le persuader au lieu de le convaincre.,74,,0,Gaining the audience's support by manipulating them rather than rationally convincing them.,91,"You would look so nice in that outfit. If you sign with us, you'll be able to buy it.",85,,,0,,,0,,0,,,,,"On n'est jamais trahi que par les siens.""",,,square,labo dans le cerveau,#face00,
156,2.1,"2,1",2,Influence,"Procédé
rhétorique",,"Jesse OK
",1,,,"Procédé
rhétorique",18,,Rhetorical device,17,,https://en.wikipedia.org/wiki/Rhetorical_device,Vous faites preuve d'une éloquence persuasive.,46,"""Si votre ramage se rapporte à votre plumage, vous êtes le phénix des hôtes de ces bois."" Jean de La Fontaine",109,Your words have persuasive eloquence.,37,"Will you really break my heart, burn my soul, strip my guts by not coming tonight?",82,,,0,,,0,,0,,,,,,,,circle,,,
