PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,link_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru, text_ru,desc_ru,example_ru,link_ru,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration,decimal_path_padded,depth_max4
295,2.2.2,"2,22",3,Influence,influence,Appel à l'émotion,Repoussoir,,2,8,,,Repoussoir,10,Vous cherchez à discréditer une proposition en la dénigrant au lieu d'argumenter pour convaincre.,97,Ce n'est tout de même pas une poignée de jeunes imbéciles qui va vous apprendre votre métier !,94,https://fr.wiktionary.org/wiki/repoussoir,Influence,Appeal to emotion,Foil,Foil,4,,Showing an idea in a repulsive light instead of rationally arguing against it.,78,Will you let those newbies tell you how to work?,,,48,,,,,"Chantez à l'âne, il vous fera des pets.""",Влияние ,Воздействие на эмоции,Очернение,Очернение,"Вы пытаетесь дискредитировать предложение, обесценивая его, вместо того, чтобы выдвигать аргументы",Уж не горстке молодых придурков нас учить!,,,,,,circle,,,,2.2200000,3
296,2.2.2.1,"2,221",4,Influence,influence,Appel à l'émotion,Repoussoir,,1,6,,,Appel au mépris,15,"Vous présentez un élément de façon à ce qu'il paraisse soit condamnable, soit indigne d'attention ou d'estime.",110,"Mon fils, tu ne feras pas tes études en fac de Lettres, ramassis notoire de paresseux et de névrosés !",102,https://fr.wikipedia.org/wiki/Argumentum_ad_odium,Influence,Appeal to emotion,Foil,Appeal to spite,15,,"Exploiting spite or disgust to persuade an audience to reject an argument.
",75,"My son, you shouldn't study literature. It's a bunch of lazy neurotic people.",,https://en.wikipedia.org/wiki/Appeal_to_spite,77,bel exemple,argumentum ad odium,,,"Chantez à l'âne, il vous fera des pets.""",Влияние ,Воздействие на эмоции,Очернение,Аргумент к презрению,Вы выставляете идею в неприглядном свете или недостойной уважения. ,"Сын мой, не пойдешь же ты на филфак, в это сборище лентяев и невротиков!",,,,,,circle,,,,2.2210000,4+
308,2.2.2.3,"2,223",4,Influence,influence,Appel à l'émotion,Repoussoir,,2,5,,,Appel à la terreur,18,Vous utilisez les peurs de votre auditoire pour parvenir à vos fins.,68,Ne t'éloigne pas du chemin ou le loup te dévorera !,51,https://fr.wikipedia.org/wiki/Appel_%C3%A0_la_terreur,Influence,Appeal to emotion,Foil,Appeal to fear,14,,Leveraging the fears of an audience to persuade them.,53,"Do not stray from the path, or the wolf may eat you.
",,https://en.wikipedia.org/wiki/Appeal_to_fear,53,,argumentum ad metum ou argumentum in terrorem,,,"Fear is the mind-killer. Fear is the little-death that brings total obliteration. Frank Herbert, Dune",Влияние ,Воздействие на эмоции,Очернение,Аргумент к ужасу,"Вы используете страхи вашей аудитории, чтобы достичь своих целей. ","Не сходи с дороги, а не то тебя съест волк. ",,1,1,,,circle,masque squelette mexicain,,,2.2230000,4+
311,2.2.3,"2,23",3,Influence,influence,Appel à l'émotion,Appel aux conséquences,,2,8,,,Appel aux conséquences,22,Vous invoquez les effets d'une proposition au lieu de vous pencher sur la proposition elle-même.,96,Je ne donne jamais d'argent aux mendiants car je crains qu'ils n'en profitent pour acheter de l'alcool.,103,https://fr.wikipedia.org/wiki/Argumentum_ad_consequentiam,Influence,Appeal to emotion,Appeal to consequences,Appeal to consequences,22,,"Discussing the consequences of a proposal rather than the proposal itself.
",75,"I never donate to beggars, because I don't want them to buy alcohol.",,https://en.wikipedia.org/wiki/Appeal_to_consequences,68,lié à wishful thinking. ,ad consequentiam,"Si vous votez pour l'égalité hommes-femmes, alors les femmes voleront le travail des hommes.","If we let women gain equality with men, they'll take the men's jobs!","Ne frappe pas à la porte d'un autre, si tu ne veux pas qu'on frappe à la tienne.""",Влияние ,Воздействие на эмоции,Аргумент к последствиям,Аргумент к последствиям,"Вместо того, чтобы рассмотреть предложение, вы обсуждаете его возможные последствия. ","Я никогда не подаю нищим, потому что боюсь, что они на эти деньги напьются. ",,,,2.2.1.2.1,,circle,,,,2.2300000,3
314,2.2.3.1.2,"2,2312",5,Influence,influence,Appel à l'émotion,Appel aux conséquences,,1,1,,,Argument du bâton,17,Vous employez la menace pour faire accepter vos conclusions.,60,"Si tu ne me laisses pas la dernière tranche de jambon, tu le paieras très cher.",79,,Influence,Appeal to emotion,Appeal to consequences,Appeal to the stick,19,,Using threat to force someone's agreement with a proposition.,61,"If you eat that last slice of cheese, I'll make you pay.",,https://en.wikipedia.org/wiki/Argumentum_ad_baculum,56,"D'ailleurs, c'est où le chantage affectif??? Y a pas???",Argumentum ad baculum,,,,Влияние ,Воздействие на эмоции,Аргумент к последствиям,Аргумент палки,"Вы используете угрозу, чтобы склонить собеседника принять вашу точку зрения. ","Если ты не оставишь последний кусок ветчины мне, это тебе будет дорого стоить. ",,1,,,,circle,XXXgourdin?,,,2.2312000,4+
323,2.3,"2,3",2,Influence,influence,Manipulation mentale,,,1,8,,,Manipulation mentale,20,Vous employez la ruse pour fausser le point de vue de votre auditoire.,70,"Pour des raisons de sécurité, veuillez nous communiquer l'identifiant et le mot de passe de votre compte.",105,https://fr.wikipedia.org/wiki/Manipulation_mentale,Influence,Psychological manipulation,,Psychological manipulation,26,,"Changing the audience's point of vue through abusive, deceptive or underhanded tactics.",87,"For safety reasons, please send us login and password for your account.",,https://en.wikipedia.org/wiki/Psychological_manipulation,71,Mes exemples sont peut-être un peu cash: vous les avez gardés?,,,,"""La bonne volonté raccourcit le chemin.""",Влияние ,Манипуляция сознанием,,Манипуляция сознанием,"Вы прибегаете к хитрости, чтобы изменить мнение аудитории. ",Из соображений безопасности сообщите логин и пароль от вашего аккаунта нам. ,,,,,,circle,,,,2.3000000,2
324,2.3.1,"2,31",3,Influence,influence,Manipulation mentale,Conditionnement,,2,,,,Conditionnement,15,Vous influez sur votre auditoire pour qu'il réagisse d'une manière particulière à un stimulus donné.,100,"Donner le pouvoir à un banquier, c'est comme guérir un alcoolique avec de l'alcool. ",84,https://fr.wikipedia.org/wiki/Conditionnement_(psychologie),Influence,Psychological manipulation,Conditioning,Conditioning,12,,"Arguing so as to associate a stimulus to response in your audience, then using it to your advantage.",100,,,http://skepdic.com/conditioning.html,,ptet une définition un peu trop specifique,,,,,Влияние ,Манипуляция сознанием,Манипуляция сознанием,Манипуляция сознанием,Условный рефлекс,"Вы влияете на аудиторию, чтобы она поступила определенным образом, реагируя на стимул. ","Отдать власть банкирам, это то же самое, что лечить пьяницу водкой. ",,,,,circle,,,,2.3100000,3
325,2.3.1.1,"2,311",4,Influence,influence,Manipulation mentale,Conditionnement,,2,3,,,Cadrage,7,Votre formulation impose un contexte qui oriente les conclusions.,65,Les études doivent préparer à la vie professionnelle ; il serait donc logique que les universités soient administrées par les chambres de commerce.,147,https://fr.wikipedia.org/wiki/Cadrage_(dA13%A9cision),Influence,Psychological manipulation,Conditioning,Framing,7,,The effect of how an idea is presented (including word choice) on its (truth) value.,84,"Since higher education should prepare student to professional life, universities should be run by the Chamber of Commerce.",,https://en.wikipedia.org/wiki/Framing_(social_sciences)#Rhetorical_framing_in_politics,122,CEt exemple politique mérite discussion,,Il dépense l'argent du contribuable alors que nous sommes en guerre contre le terrorisme.,"He keeps spending taxpayer money, while we're waging war on Terror.","Avec du temps et de la patience, les feuilles de mûrier se transforment en robe de soie.""",Влияние ,Манипуляция сознанием,Манипуляция сознанием,Кадрирование,"Ваша формулировка навязывает контекст, который подталкивает к выводам. ","Учеба должна готовить к профессиональной жизни, будет логичным, если во главе университетов встанут торгово-промышленные палаты. ",,1,1,,,circle,,,,2.3110000,4+
328,2.3.1.1.1.2,"2,31112",6,Influence,influence,Manipulation mentale,Conditionnement,,2,4,,,Leurre,6,Vous introduisez un propos discutable par des déclarations consensuelles.,73,Les parents ont le devoir d'éduquer leurs enfants et de subvenir à leurs besoins ; c'est aussi à eux de déterminer quelles études ils doivent faire.,148,,Influence,Psychological manipulation,Conditioning,Bait and Switch,15,,"Stating a series of uncontroversial statements before introducing the proposed, debatable argument.",99,Parents must raise their childen. They must provide for their needs.They must decide what they study.,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/105/Hypnotic-Bait-and-Switch,101,,,"Les Français, en toute logique, parlent français, paient des impôts en France et ferment leurs frontières aux étrangers.","The English will obvisously speak English, pay taxes for the English and close their borders to foreigners.",,Влияние ,Манипуляция сознанием,Манипуляция сознанием,Приманка,На основании общепризнанных заявлений вы подводите к сомнительному выводу,"Воспитывать детей и удоовлетворять их потребности  - родительский долг. Поэтому именно они и должны решать, куда детям пойти учиться. ",,,,,,circle,loup parmi les moutons (bof) XXXet le joueur de flûte de Hamelin?,,,2.3111200,4+
343,2.3.1.1.8,"2,3118",5,Influence,influence,Manipulation mentale,Conditionnement,,2,6,,,Programmation neurolinguistique,31,"Au moyen de stimuli sensoriels ou verbaux, vous influez sur le comportement ou la mémoire de votre auditoire.",109,"Succombez à la délicatesse de ses arômes, à son goût enchanteur et à la finesse de sa texture...",96,https://fr.wikipedia.org/wiki/Programmation_neuro-linguistique,Influence,Psychological manipulation,Conditioning,Neuro-linguistic programming,28,,Influencing memory and behaviour by sensory or linguistic means.,64,"BEN je ne vois pas cen koi FR is NLP, donc je ne vois pas comment traduire...a creuser. pub carte noire en anglais (saturation des sens) sensory overload, but it is not NLP.",,https://en.wikipedia.org/wiki/Methods_of_neuro-linguistic_programming,173,On n'est vraiment pas très loin du condtionnement... doublon ? Stéphanie,,,,,Влияние ,Манипуляция сознанием,Манипуляция сознанием,Нейролингвистическое программирование,Посредством сенсорных или вербальных стимулов вы воздействуете на поведение или память вашей аудитории. ,"Поддайтесь изяществу ароматов, чарующему вкусу и нежности текстур....",,,,,,circle,,,,2.3118000,4+
369,2.3.2,"2,32",3,Influence,influence,Manipulation mentale,Jeu de pouvoir,,2,,,,Jeu de pouvoir,14,Vous cherchez à influer sur votre auditoire en prenant sur lui un ascendant psychologique.,90,"Si ton amour pour moi est sincère, alors tu comprendras ce que je vais t'expliquer.",83,,Influence,Psychological manipulation,Power games,Power games,11,,Gaining or maintaining mental power over the people involved in a debate.,73,,,https://en.wikipedia.org/wiki/Power_and_control_in_abusive_relationships,,,,,,,Влияние ,Манипуляция сознанием,Игра престолов,Игра престолов,Вы воздействуете на аудиторию через психологическое доминирование. ,"Если ты действительно любишь меня, то поймешь то, что я хочу тебе сказать. ",,,,,,circle,,,,2.3200000,3
370,2.3.2.1,"2,321",4,Influence,influence,Manipulation mentale,Jeu de pouvoir,,2,,,,Charme personnel,16,Vous usez de votre pouvoir de séduction pour influer sur votre auditoire.,73,"Après une si belle entrée en matière, je suis sûr que nous parviendrons à dépasser ce facheux différent.  ",106,,Influence,Psychological manipulation,Power games,Personal charm,14,,Using personnal charm to suport one's argumentation.,52,"After such a good introduction, I am sure that we will manage to overcome this annoying difference.",,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/48/Argument-by-Personal-Charm,,,,,,,Влияние ,Манипуляция сознанием,Игра престолов,Личное обаяние,Использование личного обаяния для поддержки своей аргументации.,"После такого хорошего вступления, я уверен, нам удастся преодолеть эту досадную разницу.",,,,,,circle,,,,2.3210000,4+
380,2.3.2.2.1,"2,3221",5,Influence,influence,Manipulation mentale,Jeu de pouvoir,,2,,,,Engagement,10,Vous cherchez à influer sur le comportement de votre auditoire en l'invitant à assumer une responsabilité induite par votre proposition.,136,"Puisque les bonnes ménagères que vous êtes avez été convaincues par nos recettes alléchantes et leurs bienfaits diététiques, que celles qui vont cuisiner des abats à leur mari la semaine prochaine lèvent la main. ",213,https://fr.wikipedia.org/wiki/Engagement_(psychologie_sociale),Influence,Psychological manipulation,Power games,Compliance,10,,"Forcing an audience to act upon a request a request, mostly to submitt to it.",77,,,https://en.wikipedia.org/wiki/Compliance_(psychology),,La nuance d'avec Compliance gaining (catégorie mère) n'est pas nette pour moi (BEN),,,,,Влияние ,Манипуляция сознанием,Игра престолов,Взятие обязательств,"Вы пытаетесь воздействовать на поведение аудитории, подталкивая ее связать себя обязательствами, которые накладывает ваше предложение.","Поскольку хорошие хозяйки, какой вы и являетесь, убедились в том, что наши рецепты предлагают вкусные и диетические блюда, пусть те, кто будет готовить мужу бефстроганов на следующей неделе, поднимут руку. ",,,,,,circle,,,,2.3221000,4+
403,2.3.3,"2,33",3,Influence,influence,Manipulation mentale,Influence non verbale,,1,3,,,Influence non verbale,21,"Vous cherchez à agir sur la volonté de votre auditoire en utilisant autre chose que des mots, à l'instar du langage corporel ou des inflexions vocales.",151,J'ai levé les yeux au ciel et soupiré à plusieurs reprises durant son intervention pour le déstabiliser.,104,https://fr.wikipedia.org/wiki/Communication_non_verbale,Influence,Psychological manipulation,Nonverbal influence,Nonverbal influence,19,,"Influencing others with gesture, tone of voice, body language or other cues like facial expression.",99,"I rolled my eyes and sighed loudly during her speech, which undermined her confidence.",,https://en.wikipedia.org/wiki/Nonverbal_influence,86,,,,,"Il faut se méfier de l'eau qui dort.""",Влияние ,Манипуляция сознанием,Невербальное воздействие,Невербальное воздействие,"Вы пытаетесь воздействовать на аудиторию, используя не слова, а язык тела и модуляции голоса. ","Я несколько раз вздыхал и закатывал глаза во его время выступления, чтобы вывести оратора из равновесия. ",,1,,,,circle,hypnose,,,2.3300000,3
486,3,3,1,Erreur mathématique,erreurMathématique,,,,1,2,,,Erreur mathématique,19,Votre raisonnement comporte des inexactitudes quantitatives.,60,,0,,Mathematical error,,,Mathematical error,18,,The reasoning includes inaccuracies in in the use of numerical information.,75,,,https://en.wikipedia.org/wiki/Mathematical_fallacy,,,,,,,Математическая ошибка,,,Математическая ошибка,Ваше суждение имеет математические погрешности. ,,,,,,,square,géant et lilliputiens,#33F66F,,3.0000000,1
487,3.1,"3,1",2,Erreur mathématique,erreurMathématique,Généralisation abusive,,,1,8,,,Généralisation abusive,22,Vous élargissez exagérément la portée de votre raisonnement.,60,Mes chats ont toujours été très doux ; les chats sont donc des animaux inoffensifs.,83,https://fr.wikipedia.org/wiki/G%C3%A9n%C3%A9ralisation#Le_sophisme_de_la_g.C3.A9n.C3.A9ralisation_abusive,Mathematical error,Faulty generalisation,,Faulty generalisation,21,,Using a generalisation rule which is invalid in the considered situation.,73,All my cats have been sweethearts. I think cats are inoffensive animals.,,https://en.wikipedia.org/wiki/Faulty_generalization,72,,,Tous mes amis vont voter pour ce candidat ; il est donc bien parti pour gagner !,"Most of my friends will vote for this candidate, so I believe he'll win the election.",Une hirondelle ne fait pas le printemps.,Математическая ошибка,Злоупотребление обобщением,,Злоупотребление обобщением,Вы чрезмерно расширяете область вашего суждения. ,"Мои кошки всегда были очень нежными, так что кошка - безобидное животное. ",,,,,,circle,peinture au pistolet,,,3.1000000,2
488,3.1.1,"3,11",3,Erreur mathématique,erreurMathématique,Généralisation abusive,Échantillon biaisé,,2,8,,,Échantillon biaisé,18,"Votre argumentation repose sur des statistiques erronées, partiales ou invérifiables établies à partir d'une enquête sur un ensemble d'individus censé être représentatif d'une population donnée.",194,"Ce yaourt est le meilleur, puisqu'il a été plébiscité par quatre-vingts pour cent des consommateurs.",100,https://fr.wikipedia.org/wiki/Échantillon_biaisé,Mathematical error,Faulty generalisation,Sampling bias,Sampling bias,13,,Drawing conclusions from unreliable statistical data. ,54,80% of our customers declare that this yoghurt has the best price-quality ratio.,,https://en.wikipedia.org/wiki/Sampling_bias,80,,,"Ma réflexion se base sur ce sondage auto-déclaratif, selon lequel soixante-quinze pour cent de la population rejettent les immigrés.","75% of the people who, on a voluntary basis, filled this questionnaire don't like migrants.","Les cimetières sont remplis de gens qui se croyaient indispensables.""",Математическая ошибка,Злоупотребление обобщением,Пример с искажениями,Пример с искажениями,"Ваша аргументация основана на ошибочных, неполных или непроверенных статистических данных, а выборка респондентов нерепрезентативна. ","Этот йогурт лучший, потому что его выбирают 80% потребителей. ",,,,,,circle,,,,3.1100000,3
492,3.1.1.1.1.2,"3,11112",6,Erreur mathématique,erreurMathématique,Généralisation abusive,Échantillon biaisé,,2,4,,,Généralisation hâtive,21,Vous déduisez une règle globale d'un échantillon trop restreint.,64,"Depuis l'obtention de mon permis de conduire, j'ai eu trois accidents ; je ne serai donc jamais un bon conducteur.",114,,Mathematical error,Faulty generalisation,Sampling bias,Hasty generalization,20,,Inferring a general rule from too small a sample.,49,"I met 3 Breton people, they were friendly. Breton people are friendly. 
",,https://en.wikipedia.org/wiki/Hasty_generalization,72,"On a deux fois le même sophisme ""génralisation hâtive"". à réorganiser",,,,"""Il vaut mieux être seul que mal accompagné.""",Математическая ошибка,Злоупотребление обобщением,Пример с искажениями,Поспешное обобщение,Вы делаете поспешный глобальный вывод на основании узких данных. ,"С тех пор, как я получил права, у меня было три аварии. Значит, я никогда не буду хорошим водителем. ",,,,4.3.1,,circle,,,,3.1111200,4+
494,3.1.1.2,"3,112",4,Erreur mathématique,erreurMathématique,Généralisation abusive,Échantillon biaisé,,1,6,,,Cueillette de cerises,21,Vous ignorez les faits qui ne vont pas dans le sens de votre argumentation.,75,"Maman n'a pas dit non, j'ai eu une bonne note et ce bonbon est rose, ma couleur préférée : s'il te plaît, achète-le-moi !",121,https://fr.wikipedia.org/wiki/Cueillette_de_cerises,Mathematical error,Faulty generalisation,Sampling bias,Cherry picking,14,,Selectively pointing to evidence that supports a position.,58,"Mom didn't say no, I got a good mark and it's my favourite color. Please buy me this candy!",,https://en.wikipedia.org/wiki/Cherry_picking,91,,,,,"Goutte à goutte, l'eau creuse la pierre.""",Математическая ошибка,Злоупотребление обобщением,Пример с искажениями,Сбор черешни,"Вы игнорируете факты, противоречащие вашим аргументам. ","Мама не сказала нет, я получил хорошую оценку, а эта конфета розовая, это как раз мой любимый цвет. Пожалуйста, купи ее мне! ",,1,1,,,circle,,,,3.1120000,4+
502,3.1.2,"3,12",3,Erreur mathématique,erreurMathématique,Généralisation abusive,Sophisme de l'accident,,1,8,,,Sophisme de l'accident,22,Vous appliquez un principe général à une situation sans tenir compte du caractère particulier de celle-ci.,106,Ma voiture peut rouler à cent trente kilomètres à l'heure ; traverser la ville ne me prendra donc que quelques minutes.,119,,Mathematical error,Faulty generalisation,Secundum quid,Secundum quid,13,Accident Fallacies,"Applying a general principle, without paying attention to specific conditions.",78,"My car goes at 130 km an hour, I only need a few minutes to cross the city.",,https://en.wikipedia.org/wiki/Secundum_quid,75,"autre lien mieux expliqué: http://www.blackwellreference.com/public/tocnode?id=g9781405106795_chunk_g97814051067957_ss1-23
utre bonne formulation: (cosmovisions.com/sophisme.htm",a dicto secundum quid ad dictum simpliciter,,,,Математическая ошибка,Злоупотребление обобщением,Софизм аварии,Софизм аварии,"Вы применяете общий принцип к ситуаци, не учитывая частного характера последней. ","Моя машина может ехать со скоростью 130 км/ч, так что я проеду весь город за несколько минут. ",,1,,,,circle,,,,3.1200000,3
509,3.1.3,"3,13",3,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,,2,5,,,Transfert illicite,18,Vous considérez qu'une propriété s'appliquant à un ensemble dans sa globalité s'applique également à chacun des éléments qui le composent ou inversement.,153,Un camion consomme plus de carburant qu'une voiture ; on peut en déduire que le volume global de carburant consommé par les camions est supérieur à celui que consomment les voitures.,182,http://misterming.free.fr/sophismes/#comp,Mathematical error,Faulty generalisation,Illicit transference,Illicit transference,20,,Transferring the properties of a set to its member or vice-versa.,65,A machine made of light parts is light. A heavy machine must be made of heavy parts.,,https://en.wikipedia.org/wiki/Fallacies_of_illicit_transference,84,"ref: Hurley, Patrick (2014), A Concise Introduction to Logic (12th ed.), Cengage Learning, pp. 161, 172",,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Незаконный перенос,"Вы считаете, что свойство, присущее совокупности явлений так же присуще каждому из ее элементов, и наоборот. ","Грузовик потребляет больше горючего, чем легковая машина. Из этого можно заключить, что общий объем горючего, потребляемого грузовиками, выше объема, потребляемого легковыми автомобилями. ",,,,,,circle,,,,3.1300000,3
510,3.1.3.1,"3,131",4,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,,2,3,,,Sophisme de composition,23,Vous considérez qu'une propriété s'appliquant aux éléments distincts d'un ensemble s'applique automatiquement à l'ensemble tout entier.,135,Toutes ces plantes vont mourir un jour ; ce jardin est donc voué à disparaître.,79,https://fr.wikipedia.org/wiki/Sophisme_de_composition,Mathematical error,Faulty generalisation,Illicit transference,Fallacy of composition,22,,Atrributing properties of the parts of a set to the whole set.,62,"All these plants will die one day, so this garden will disappear.",,https://en.wikipedia.org/wiki/Fallacy_of_composition,65,"Il y a une question sur l'identité humaine, sachant quen XX combien?) de temps toutes nos cellules sont mortes et remplacées.",,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Композиционный софизм,"Вы считаете, что свойство, которым обладают отдельные элементы, автоматически присуще всей их совокупности. ","Все эти растения однажды погибнут, так что этот сад обречен на гибель. ",,1,,,,circle,,,,3.1310000,4+
513,3.1.3.2,"3,132",4,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,,1,7,,,Sophisme de division,20,Vous attribuez les qualités d'un ensemble à chacun de ses éléments.,67,Les tigres royaux sont voués à disparaître prématurément; ce tigre royal mourra donc jeune.,91,,Mathematical error,Faulty generalisation,Illicit transference,Division fallacy,16,,Attributing properties of a whole set to each of its individual part.,69,Bengal tigers will disappear very soon. This Bengal tiger will therefore die much too soon.,,https://en.wikipedia.org/wiki/Fallacy_of_division,91,,,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Софизм разделения,Вы приписываете свойства целого каждой из его частей. ,"Бенгальские тигры обречены, так что этот юный тигр умрет молодым. ",,,,,,circle,,,,3.1320000,4+
520,3.2,"3,2",2,Erreur mathématique,erreurMathématique,Mauvaise interprétation,,,1,7,,,Mauvaise interprétation,23,Vous établissez des relations inexistantes entre divers éléments.,65,Les apparitions de Nicolas Cage au cinéma ces dix dernières années coïncident avec des pics de noyades en piscine.,114,https://fr.wikipedia.org/wiki/Régression_fallacieuse,Mathematical error,Interpretation fallacy,,Interpretation fallacy,22,,Making use of erroneous or non-existent relations.,50,The rate of student suicides follows the same pattern as that of Nicholas Cage's appearances on screen.,,https://www.seekfind.net/Logical_Fallacy_of_Misinterpretation.html#.Y72hCy-B3RY,103,,,,,,Математическая ошибка,Неправильная интерпретация,,Неправильная интерпретация,Вы устанавливаете несуществующие отношения между различными элементами. ,Появления Николаса Кейджа в кино за последние десять лет совпадают с пиковым количеством утоплений в бассейнах. ,,,,,,circle,,,,3.2000000,2
521,3.2.1,"3,21",3,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,,2,5,,,Relation infondée,17,Vous attribuez un sens à une simple coïncidence.,48,"Comme j'étais très malade, j'ai prié et cela m'a guéri.",55,,Mathematical error,Interpretation fallacy,Spurious relationship,Spurious relationship,21,,Claiming causality between coincident facts when that coincidence could be explained differently.,97,I was sick. I prayed and then I felt better. ,,https://en.wikipedia.org/wiki/Spurious_relationship,45,,,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Безосновательное отношение,Вы приписываете смысл простому совпадению. ,"Поскольку я болел, то решил помолиться, и исцелился. ",,,,,,circle,,,,3.2100000,3
524,3.2.1.3,"3,213",4,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,,2,4,,,Sophisme de régression,22,Vous attribuez une cause erronée à ce qui n'est que le résultat d'une fluctuation tout à fait normale.,102,"Il y a peu, au casino, j'ai gagné trois fois le jackpot ; mais depuis que j'ai bu un jus de tomate, je perds sans discontinuer : maudit jus de tomate !",151,http://www.fallacyfiles.org/regressf.html,Mathematical error,Interpretation fallacy,Spurious relationship,Regressive fallacy,18,,Attributing a specific cause to the natural return from an extreme to the average.,82,I won the lottery three times in row. Then I had tomato juice and I haven't won anything. Tomato juice is bad luck.,,http://www.skepdic.com/regressive.html,115,,,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Софизм регрессии,"Вы приписываете ошибочную причину тому, что является всего лишь результатом естественных колебаний. ","Недавно, в казино, я трижды выиграл джекпот; но с тех пор, как я стал пить томатный сок, я стал все время проигрывать: всему виной томатный сок! ",,,,,,circle,,,,3.2130000,4+
526,3.2.1.4.1,"3,2141",5,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,,1,3,,,Tireur d'élite texan,20,Vous prétendez déduire une cause commune à une série d'événements fortuits possédant des caractéristiques similaires.,117,"On trouve des pyramides au Mexique, en Égypte et au Cambodge, ce qui prouve qu'une même entité a inspiré tous ces peuples.",122,https://fr.wikipedia.org/wiki/Sophisme_du_tireur_d'%C3%A9lite_texan,Mathematical error,Interpretation fallacy,Spurious relationship,Texas sharpshooter,18,,Giving an unjustified cause to a pattern.,41,"We found pyramids in Egypt, Mexico and Cambodia. It must be that an alien taught these 3 distinct civilizations. ",,http://www.skepdic.com/texas.html,113,liens t: cueillette des cerises illusion des séries,,Les filles sont sous-représentées dans les filières liées aux mathématiques ; les garçons sont donc naturellement plus doués qu'elles dans cette discipline.,Women are under-represented in math studies. It must be that they have a less mathematical brain than men.,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Техасский стрелок,Вы пытаетесь найти общую причину для случайных событий со схожими характеристиками.,"В Мексике, Египте и Камбодже встречаются пирамиды, это доказывает, что все эти народы вдохновляла одна и та же высшая сущность. ",,,1,,,circle,,,,3.2141000,4+
530,3.2.2,"3,22",3,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Probabilités faussées,,2,6,,,Probabilités faussées,21,Votre argumentation s'appuie sur une utilisation erronée des lois mathématiques du calcul de l'aléatoire.,105,"L'ADN laissé par l'auteur de ce crime présente une particularité que l'on ne trouve que chez dix pour cent de la population, singularité également présente dans l'ADN de l'accusé que voici ; on peut donc affirmer à quatre-vingt-dix pour cent que cet homme est coupable.",269,,Mathematical error,Interpretation fallacy,Probabilistic fallacy,Probabilistic fallacy,21,,Using arguments based on erroneous probabilistic reasoning.,59,"The culprit and the suspect share a DNA trait that only 10% of the people have. Therefore, the suspect has a 90% chance of being guilty.",,http://www.fallacyfiles.org/probfall.html,136,,,,,,Математическая ошибка,Неправильная интерпретация,Ложная вероятность,Ложная вероятность,Ваша аргументация опирается на превратное использование математических законов расчета случайностей. ,"ДНК преступника на месте преступления имеет особенность, присущую лишь 10% населения. Эта же особенность наблюдается у этого преступника, так что с 90-процентной вероятностью можно утверждать, что это этот человек виновен. ",,,,,,circle,dés et cartes,,,3.2200000,3
539,3.2.2.3.1,"3,2231",5,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Probabilités faussées,,1,1,,,Main chaude,11,Vous évaluez vos chances de succès à l'aune de la réussite de tentatives récentes. ,83,Mieux vaut ne rien entreprendre : rien ne me réussit ces temps-ci !,67,,Mathematical error,Interpretation fallacy,Probabilistic fallacy,Hot hand fallacy,16,,Predicting future luck on the basis of past events.,51,"I'd rather not initiate anything at the moment, because I've just experienced a series of failures. ",,http://www.fallacyfiles.org/hothandf.html,100,,la baraka,,,,Математическая ошибка,Неправильная интерпретация,Ложная вероятность,Разогретые мышцы,Вы оцениваете свои шансы на успех в соответствии с результатом недавних попыток. ,"Лучше ничего не предпринимать, в последнее время мне ничего не удается. ",,1,1,,,circle,dés,,,3.2231000,4+
