PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin1,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,Family_ar,Subfamily_ar,Subsubfamily_ar,text_ar,desc_ar,example_ar,link_ar,Family_es,Subfamily_es,Subsubfamily_es,text_es,desc_es,example_es,link_es,Family_zh,Subfamily_zh,Subsubfamily_zh,text_zh,desc_zh,example_zh,link_zh,Family_fa,Subfamily_fa,Subsubfamily_fa,text_fa,desc_fa,example_fa,link_fa,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Leverages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
628,3.1.3.2.1.2,"3,13212",6,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,,,,,,Confusion moyenne-médiane,25,"Vous confondez la moyenne et la médiane, deux mesures statistiques qui peuvent différer.",88,"J’ai du mal à croire que tous ces immeubles d’habitation soient si délabrés, compte tenu des ressources dont dispose la municipalité.",132,,Mathematical error,Faulty generalisation,Illicit transference,Confusing mean and median,25,,"Mistaking the mean for the median, two statistical measures that can vastly differ.",83,I find it hard to believe all these residential buildings are so rundown given the resources the municipality has.,,114,https://en.wikipedia.org/wiki/Ecological_fallacy#Mean_and_median,,,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Путаница между средним и медианой,"Вы путаете среднее значение и медиану, две статистические меры, которые могут сильно отличаться.","Трудно поверить, что все эти жилые здания такие запущенные, учитывая ресурсы муниципалитета.",,Erro Matemático,Generalização Abusiva,Transferência Ilícita,Confusão Entre Média e Mediana,"Vocês confundem a média e a mediana, duas medidas estatísticas que podem diferir bastante.","É difícil acreditar que todos esses edifícios residenciais estejam tão deteriorados, dado os recursos que a municipalidade possui.",,خطأ رياضي,تعميم مُتعجل,النقل غير المشروع,الخلط بين الوسيط والمتوسط,تخلط بين المتوسط الحسابي والوسيط، وهما مقياسان إحصائيان يمكن أن يختلفا بشكل كبير.,أجد صعوبة في تصديق أن كل هذه المباني السكنية متداعية بهذه الدرجة بالنظر إلى الموارد التي تمتلكها البلدية.,,Error matemático,Generalización incorrecta,Transferencia ilícita,Confusión de media y mediana,"Confundís la media con la mediana, dos medidas estadísticas que pueden diferir mucho.","Me cuesta creer que todos estos edificios de viviendas estén tan deteriorados, dados los recursos de los que dispone el municipio.",,数学错误,错误的概括,非法转移,平均数与中位数混淆,您混淆了可能存在很大差异的平均数和中位数这两个统计度量。,鉴于市政当局拥有的资源，我很难相信所有这些住宅楼都如此破旧。,,اشتباه ریاضی,تعمیم نابجا,انتقال ناصحیح,اشتباه گرفتن میانگین و میانه,شما میانگین را با میانه اشتباه می‌گیرید، دو اندازه‌گیری آماری که می‌توانند بسیار متفاوت باشند.,با توجه به منابعی که شهرداری در اختیار دارد، برایم سخت است که باور کنم همه این ساختمان‌های مسکونی اینقدر خراب هستند.,,,,,,,,,,,,,,,,,,circle,,,,,3.1321200,4+
629,3.1.3.2.1.3,"3,13213",6,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,,,,,,Confusion entre la moyenne du tout et celle de la partie,41,Vous calculez à tort la moyenne d’une partie en vous fondant sur la moyenne de l’ensemble.,101,"En moyenne, les habitants de cette ville vivent jusqu’à 75 ans ; j’ai donc de bonnes chances de vivre au moins jusqu’à cet âge.",127,,Mathematical error,Faulty generalisation,Illicit transference,Confusing group and total averages,34,,Infering the mean value for a subset from the mean value of the general set.,76,"On average, people in this town live until 75 years old; hence, I should have a good chance of living at least that long.",,121,https://en.wikipedia.org/wiki/Ecological_fallacy#Group_and_total_averages,,,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Путаница между средним значением для группы и для всего,"Вы неправильно рассчитываете среднее значение для части, опираясь на среднее значение для всего.","В среднем, жители этого города живут до 75 лет; значит, у меня есть хорошие шансы дожить хотя бы до этого возраста.",,Erro Matemático,Generalização Abusiva,Transferência Ilícita,Confusão da Média do Todo e da Parte,"Vocês calculam incorretamente a média para uma parte, baseando-se na média do conjunto total.","Em média, os habitantes desta cidade vivem até os 75 anos; então, eu tenho boas chances de viver pelo menos até essa idade.",,خطأ رياضي,تعميم مُتعجل,النقل غير المشروع,الخلط بين متوسط المجموعة والمجموع الكلي,تستنتج القيمة المتوسطة للقسم الفرعي بناءً على القيمة المتوسطة للمجموعة العامة.,في المتوسط، يعيش الناس في هذه المدينة حتى سن 75 عامًا؛ لذا، يجب أن يكون لدي فرصة جيدة للعيش على الأقل حتى ذلك العمر.,,Error matemático,Generalización incorrecta,Transferencia ilícita,Confusión de medias del grupo y del total, Calculáis incorrectamente la media de una parte basándoos en la media de la totalidad.,"En promedio, los habitantes de esta ciudad viven hasta los 75 años; por lo tanto, tengo buenas probabilidades de vivir al menos hasta esa edad.",,数学错误,错误的概括,非法转移,群体和整体平均数混淆,从总体的平均值推断子集的平均值。,平均而言，这个城镇的人活到75岁；因此，我应该有很大的机会活到这个年龄。,,اشتباه ریاضی,تعمیم نابجا,انتقال ناصحیح,اشتباه گرفتن میانگین گروهی و کلی,شما به اشتباه میانگین یک زیرمجموعه را از میانگین کل مجموعه استنتاج می‌کنید.,به طور میانگین، مردم این شهر تا ۷۵ سالگی زنده می‌مانند؛ به همین دلیل، من باید شانس خوبی برای زندگی حداقل تا این سن داشته باشم.,,,,,,,,,,,,,,,,,,circle,,,,,3.1321300,4+
630,3.1.3.2.1.4,"3,13214",6,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,,,,,,Confusion des plans de corrélation,34,Vous supposez à tort que les relations entre variables observées chez un individu reflètent celles du groupe auquel il appartient.,129,"Plus il y a d’ordinateurs dans un pays, plus on y vend de chocolat. Il est donc normal que plus je passe de temps devant mon écran, plus je mange de chocolat.",157,,Mathematical error,Faulty generalisation,Illicit transference,Confusing individual and aggregate correlations,47,,Considering that variables applying to individuals are correlated like the variables that apply to the aggregate of individuals.,128,"The more computers a country has, the more chocolate it sells. So, it's only natural that the more time I spend in front of my screen, the more chocolate I eat.",,160,https://en.wikipedia.org/wiki/Ecological_fallacy#Individual_and_aggregate_correlations,,,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Путаница между индивидуальными и агрегированными корреляциями,"Вы допускаете ошибку, предполагая, что соотношения между переменными для одного индивида отражают соотношения в группе, к которой он принадлежит.","Чем больше компьютеров в стране, тем больше в ней продается шоколада. Так что вполне естественно, что чем больше я провожу времени перед экраном, тем больше я ем шоколада.",,Erro Matemático,Generalização Abusiva,Transferência Ilícita,Confusão Entre Correlações Individuais e Agregadas,Vocês fazem o erro de supor que as relações entre variáveis para um indivíduo refletem aquelas do grupo ao qual pertence.,"Quanto mais computadores um país tem, mais chocolate se vende. Então, é natural que quanto mais tempo passo na frente do meu ecrã, mais chocolate eu como.",,خطأ رياضي,تعميم مُتعجل,النقل غير المشروع,الخلط بين الخطط الزمنية للارتباط,ترتكب خطأً حين تفترض أن العلاقات بين المتغيرات للأفراد تعكس تلك الموجودة للمجموعة التي ينتمون إليها.,كلما زاد عدد أجهزة الكمبيوتر في بلد ما، زاد بيع الشوكولاتة. لذلك، من الطبيعي أنه كلما زاد الوقت الذي أقضيه أمام شاشتي، زاد استهلاكي للشوكولاتة.,,Error matemático,Generalización incorrecta,Transferencia ilícita,Confusión de planes de correlación,Cometéis el error de suponer que las relaciones entre variables para un individuo reflejan las del grupo al que pertenece.,"Cuantos más ordenadores hay en un país, más chocolate se vende. Entonces, es natural que cuanto más tiempo paso frente a la pantalla, más chocolate como.",,数学错误,错误的概括,非法转移,混淆个体与总体相关性,您错误地认为适用于个体的变量与适用于个体集合的变量相关。,一个国家拥有的电脑越多，它销售的巧克力就越多。因此，我在屏幕前花的时间越多，我吃的巧克力就越多，这很正常。,,اشتباه ریاضی,تعمیم نابجا,انتقال ناصحیح,اشتباه گرفتن همبستگی‌های فردی و گروهی,شما فکر می‌کنید که متغیرهای مربوط به افراد با متغیرهای مربوط به کل افراد به همان شکل همبسته هستند.,هرچه تعداد کامپیوترهای یک کشور بیشتر باشد، فروش شکلات نیز بیشتر است. بنابراین، طبیعی است که هرچه بیشتر جلوی صفحهٔ کامپیوترم بنشینم، شکلات بیشتری می‌خورم.,,,,,,,,,,,,,,,,,,circle,,,,,3.1321400,4+
631,3.1.3.2.2,"3,1322",5,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,,,,,,Réductionnisme glouton,22,"Pour expliquer un phénomène complexe, vous le simplifiez à l’excès en ne considérant que ses éléments individuels.",115,L’équipe a perdu le match ; donc chaque joueur manque de talent.,63,,Mathematical error,Faulty generalisation,Illicit transference,Greedy reductionism,19,,"Attempting to explain a thing in terms of what it reduces to but failing to consider the complexity of the issue, thus oversimplifying.
",136,"The team lost the match, so each player must lack talent.",,57,https://en.wikipedia.org/wiki/Greedy_reductionism,,,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Жадный редукционизм,"Пытаетесь объяснить сложное явление, сводя его к элементарным частям, игнорируя его комплексность, тем самым слишком упрощая.","Команда проиграла матч, значит, каждый игрок не обладает талантом.",,Erro Matemático,Generalização Abusiva,Transferência Ilícita,Reducionismo Avido,"Tentativa de explicar algo apenas pelo que se reduz, falhando em considerar a complexidade do assunto, simplificando excessivamente.","A equipe perdeu a partida, então cada jogador deve faltar talento.",,خطأ رياضي,تعميم مُتعجل,النقل غير المشروع,النزعة الاختزالية المفرطة,لتفسير ظاهرة معقدة، تبسطها بشكل مفرط من خلال النظر فقط في العناصر الفردية.,فريق الكرة خسر المباراة، إذن كل لاعب يفتقر إلى الموهبة.,,Error matemático,Generalización incorrecta,Transferencia ilícita,Reduccionismo voraz,"Para explicar un fenómeno complejo, simplificas excesivamente al considerar solo los elementos individuales.","El equipo perdió el partido, por lo tanto, cada jugador carece de talento.",,数学错误,错误的概括,非法转移,贪婪还原论,为了解释一个复杂的现象，您过于简化，只考虑了单个元素。,团队输了比赛，所以每个队员都一定缺乏天赋。,,اشتباه ریاضی,تعمیم نابجا,انتقال ناصحیح,تقلیل‌گرایی حریصانه,برای توضیح یک پدیده پیچیده، شما بیش از حد ساده‌سازی می‌کنید و فقط عناصر فردی را در نظر می‌گیرید.,تیم بازی را باخت، بنابراین هر بازیکن باید بی‌استعداد باشد.,,,,,,,,,,,,,,,,,,circle,,,,,3.1322000,4+
632,3.2,"3,2",2,Erreur mathématique,erreurMathématique,Mauvaise interprétation,,1,1,7,,,Interprétation quantitative erronée,23,Vous établissez des relations quantitatives inexactes entre des éléments ou des données.,86,La courbe du réchauffement climatique suit de très près la baisse de la natalité. Le lien entre les deux est donc avéré.,130,https://fr.wikipedia.org/wiki/Régression_fallacieuse,Mathematical error,Interpretation fallacy,,Interpretation fallacy,22,,Making use of erroneous or non-existent relations.,50,The global warming curve closely follows the decline in the birth rate. The link between the two is therefore established.,,103,https://www.seekfind.net/Logical_Fallacy_of_Misinterpretation.html#.Y72hCy-B3RY,,,,,,Математическая ошибка,Неправильная интерпретация,,Неправильная интерпретация,Вы устанавливаете несуществующие отношения между различными элементами.,"Кривая глобального потепления очень точно повторяет снижение рождаемости. Значит, связь между ними доказана.",,Erro Matemático,Falácia de Interpretação,,Falácia de Interpretação,Uso de relações errôneas ou inexistentes.,"A curva do aquecimento climático acompanha de muito perto a queda da natalidade. Portanto, a ligação entre as duas está comprovada.",,خطأ رياضي,سوء التفسير,,سوء التفسير,تقيم علاقات كمية غير دقيقة بين عناصر أو بيانات مختلفة.,يتبع الاحترار المناخي نمطًا قريبًا جدًا من انخفاض معدلات الولادة. العلاقة بين الاثنين مؤكدة.,,Error matemático,Falacia de interpretación,,Falacia de interpretación,Estableces relaciones cuantitativas inexactas entre varios elementos o datos.,El calentamiento climático sigue una evolución muy cercana a la de la disminución de la natalidad. El vínculo entre ambos está comprobado.,,数学错误,误解谬误,,误解谬误,您在不同的元素或数据之间建立了不准确的定量关系。,气候变暖的趋势与出生率下降的趋势非常相似，两者之间必定存在联系。,,اشتباه ریاضی,تفسیر نادرست,,تفسیر نادرست,شما روابط کمی نادرست بین عناصر مختلف یا داده‌ها برقرار می‌کنید.,گرمایش زمین با کاهش نرخ تولد هماهنگی دارد. این یک ارتباط اثبات شده است.,,,,,,,,,,,,,,,EvidenceToHypothesis_Inference,,skos:broadMatch,circle,,,,,3.2000000,2
633,3.2.1,"3,21",3,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,1,2,5,,,Relation infondée,17,Vous attribuez une relation significative à ce qui n’est qu’une simple coïncidence.,61,La courbe de la productivité suit clairement celle de la consommation de café. Il doit en être la cause.,104,,Mathematical error,Interpretation fallacy,Spurious relationship,Unfounded relationship,21,,Attributing a significant relationship to what is merely a simple coincidence.,97,The productivity curve clearly follows that of coffee consumption. Coffee must therefore be the cause.,,45,https://en.wikipedia.org/wiki/Spurious_relationship,,,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Необоснованная связь,"Вы приписываете значимую связь тому, что является лишь простым совпадением.","Кривая производительности явно повторяет кривую потребления кофе. Значит, кофе должен быть причиной.",,Erro Matemático,Falácia de Interpretação,Relacionamento Espúrio,Relação infundada,Os senhores atribuem uma relação significativa ao que não passa de uma simples coincidência.,"A curva da produtividade acompanha claramente a do consumo de café. Portanto, o café deve ser a causa.",,خطأ رياضي,سوء التفسير,علاقة وهمية,علاقة غير مبررة,تنسبون علاقة ذات دلالة إلى ما ليس سوى مصادفة بسيطة.,منحنى الإنتاجية يتبع بوضوح منحنى استهلاك القهوة. لا بد إذن أن تكون القهوة هي السبب.,,Error matemático,Falacia de interpretación,Relación espuria,Relación infundada,Ustedes atribuyen una relación significativa a lo que no es más que una simple coincidencia.,"La curva de la productividad sigue claramente la del consumo de café. Por tanto, el café debe ser la causa.",,数学错误,误解谬误,虚假关系,无根据的关系,您把一种有意义的关系归于仅仅是简单巧合的事物。,生产率曲线明显跟随咖啡消费量曲线。因此，咖啡一定是原因。,,اشتباه ریاضی,تفسیر نادرست,رابطه‌ی کاذب,رابطهٔ بی‌اساس,شما به چیزی که صرفاً یک تصادف ساده است، رابطه‌ای معنادار نسبت می‌دهید.,منحنی بهره‌وری آشکارا از منحنی مصرف قهوه پیروی می‌کند. پس قهوه باید علت آن باشد.,,,,,,,,,,,,,,PropertyNotExistant_Conflict,Sign_Inference,,skos:broadMatch,circle,,,,,3.2100000,3
634,3.2.1.1,"3,211",4,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,,,,,"Cum Hoc, Ergo Propter Hoc",Confusion entre corrélation et causalité,28,"Vous pensez à tort que, lorsque deux phénomènes coïncident ou évoluent ensemble, l’un est forcément la cause de l’autre.",106,"D’après les statistiques, la hausse des températures mondiales coïncide avec l’augmentation des ventes de glaces ; les glaces doivent donc contribuer au réchauffement climatique.",177,,Mathematical error,Interpretation fallacy,Spurious relationship,Correlation-Causation Fallacy,29,,Seeing the concomitance of two phenomena as proof that one causes the other.,76,"Following the stats, global warming trends coincide with increased ice cream sales; hence, ice cream must contribute to global warming.",,135,https://en.wikipedia.org/wiki/Correlation_does_not_imply_causation,la descri  décrivait plutôt un ante hoc ergo popter hoc: ce qui vient après est la cause de ce qui vient avant...,Cum hoc ergo propter hoc,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Заблуждение о причинно-следственной связи,"Вы неправильно полагаете, что если два явления происходят одновременно, одно обязательно является причиной другого.","Согласно статистике, тенденции глобального потепления совпадают с увеличением продаж мороженого; таким образом, мороженое должно способствовать глобальному потеплению.",,Erro Matemático,Falácia de Interpretação,Relacionamento Espúrio,Falácia da Correlação-Causa,Ver a concomitância de dois fenômenos como prova de que um causa o outro.,"Seguindo as estatísticas, as tendências do aquecimento global coincidem com o aumento nas vendas de sorvetes; portanto, os sorvetes devem contribuir para o aquecimento global.",,خطأ رياضي,سوء التفسير,علاقة وهمية,مغالطة الارتباط بالسببية,ترى أن تزامن ظاهرتين هو دليل على أن إحداهما تسبب الأخرى.,وفقًا للإحصاءات، يتزامن ارتفاع درجات الحرارة العالمية مع زيادة مبيعات الآيس كريم؛ لذلك، يجب أن تساهم الآيس كريم في الاحترار العالمي.,,Error matemático,Falacia de interpretación,Relación espuria,Falacia de correlación-causalidad,Ves la concomitancia de dos fenómenos como prueba de que uno causa el otro.,"Según las estadísticas, el aumento de las temperaturas globales coincide con el incremento de las ventas de helados; por lo tanto, los helados deben contribuir al calentamiento global.",,数学错误,误解谬误,虚假关系,相关性-因果性谬误,您错误地认为，如果两个现象同时发生，一个必然导致另一个。,根据统计数据，全球气温上升趋势与冰淇淋销售量增加同时发生；因此，冰淇淋一定会导致全球变暖。,,اشتباه ریاضی,تفسیر نادرست,رابطه‌ی کاذب,استدلال همبستگی-علیت,شما همزمانی دو پدیده را به عنوان اثبات علیت یکی بر دیگری می‌بینید.,طبق آمار، روندهای گرمایش جهانی با افزایش فروش بستنی‌ها همگام بوده است؛ بنابراین بستنی باید به گرمایش جهانی کمک کند.,,,,,,,,,,,,,,,,,,circle,,,,,3.2110000,4+
635,3.2.1.2,"3,212",4,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,,,,,"Post Hoc, Ergo Propter Hoc",Confusion entre antériorité et causalité,28,Vous supposez qu’un événement est la cause d’un autre uniquement parce qu’il l’a précédé dans le temps.,103,Le merle chante juste avant le lever du soleil ; son chant fait donc se lever le soleil.,95,,Mathematical error,Interpretation fallacy,Spurious relationship,Post Hoc Fallacy,16,,Seeing the succession of two phenomena as the proof that the one occuring first is the cause of the one occuring after.,119,"The blackbird sings just before sunrise, so the blackbird's song must cause the sun to rise.",,92,https://en.wikipedia.org/wiki/Post_hoc_ergo_propter_hoc,,Post hoc ergo propter hoc,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Заблуждение последовательности,"Вы предполагаете, что событие является причиной другого, только потому что оно предшествовало ему во времени.","Дрозд поет непосредственно перед восходом солнца, значит пение дрозда вызывает восход солнца.",,Erro Matemático,Falácia de Interpretação,Relacionamento Espúrio,Falácia Post Hoc,Ver a sucessão de dois fenômenos como prova de que o que ocorreu primeiro é a causa do que ocorre depois.,"O merlo canta logo antes do nascer do sol, então o canto do merlo deve fazer o sol nascer.",,خطأ رياضي,سوء التفسير,علاقة وهمية,مغالطة السبب الزمني,تفترض أن حدثًا ما هو سبب لحدث آخر لمجرد أنه سبق الحدث الآخر في الوقت.,العصفور الأسود يغني قبل شروق الشمس مباشرة، إذن غناء العصفور الأسود يتسبب في شروق الشمس.,,Error matemático,Falacia de interpretación,Relación espuria,Falacia post hoc,Ves la sucesión de dos fenómenos como prueba de que el primero es la causa del segundo.,"El mirlo canta justo antes del amanecer, por lo que el canto del mirlo debe hacer que salga el sol.",,数学错误,误解谬误,虚假关系,继时性谬误,仅因为一个事件在时间上先于另一个事件，您就假定它是另一个事件的原因。,乌鸫在日出前鸣唱，所以乌鸫的歌声一定使太阳升起。,,اشتباه ریاضی,تفسیر نادرست,رابطه‌ی کاذب,استدلال پسا-واقعه‌ای,شما فرض می‌کنید که یک رویداد دلیل رویداد دیگری است، فقط به این دلیل که قبل از آن اتفاق افتاده است.,مرغ سیاه دقیقا قبل از طلوع آفتاب آواز می‌خواند، بنابراین آواز مرغ سیاه باید باعث طلوع آفتاب شود.,,,,,,,,,,,,,,,,,,circle,,,,,3.2120000,4+
636,3.2.1.3,"3,213",4,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,1,2,4,,,Sophisme de régression,22,Vous attribuez à tort un effet particulier à ce qui n’est qu’un retour à la normale après une fluctuation.,108,"Comme j'étais très malade, j'ai prié et cela m'a guéri.",55,http://www.fallacyfiles.org/regressf.html,Mathematical error,Interpretation fallacy,Spurious relationship,Regression fallacy,18,,Mistakenly attributing a particular effect to what is merely a return to normal after a fluctuation.,82,"Since I was very ill, I prayed and that healed me.",,109,http://www.skepdic.com/regressive.html,,,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Софизм регрессии,"Вы ошибочно приписываете особый эффект тому, что является лишь возвращением к норме после колебания.","Поскольку я был очень болен, я помолился, и это меня исцелило.",,Erro Matemático,Falácia de Interpretação,Relacionamento Espúrio,Sofisma da regressão,Os senhores atribuem erroneamente um efeito particular ao que não passa de um retorno à normalidade após uma flutuação.,"Como eu estava muito doente, rezei, e isso me curou.",,خطأ رياضي,سوء التفسير,علاقة وهمية,مغالطة الانحدار نحو المتوسط,تنسبون خطأً أثراً معيناً إلى ما ليس سوى عودة إلى الوضع الطبيعي بعد تقلب.,بما أنني كنت مريضاً جداً، صلّيت، فشفاني ذلك.,,Error matemático,Falacia de interpretación,Relación espuria,Sofisma de regresión,Ustedes atribuyen erróneamente un efecto particular a lo que no es más que un retorno a la normalidad después de una fluctuación.,"Como estaba muy enfermo, recé y eso me curó.",,数学错误,误解谬误,虚假关系,回归谬误,您错误地把某种特定效果归因于波动之后仅仅是恢复正常的现象。,因为我病得很重，我祈祷了，于是这治好了我。,,اشتباه ریاضی,تفسیر نادرست,رابطه‌ی کاذب,مغالطهٔ بازگشت به میانگین,شما به‌اشتباه اثری خاص را به چیزی نسبت می‌دهید که صرفاً بازگشت به حالت عادی پس از یک نوسان است.,چون بسیار بیمار بودم، دعا کردم و همین مرا شفا داد.,,,,,,,,,,,,,,,,,,circle,,,,,3.2130000,4+
637,3.2.1.4,"3,214",4,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,,,,,,Pêche aux données,17,"Vous cherchez dans les données, après coup, un résultat qui soutient votre thèse, au lieu de définir à l’avance ce que vous vouliez démontrer.",154,"En analysant les habitudes alimentaires de cent personnes, nous avons découvert que celles qui mangent du chocolat le matin sont plus productives. Cela prouve que le chocolat augmente la productivité.",197,,Mathematical error,Interpretation fallacy,Spurious relationship,Post-designation,16,Fishing for data,"Drawing a conclusion from a tendency observed in a sample, but without having declared the searched tendency prior to studying the sample.",139,"In analyzing the eating habits of one hundred people, we found that those who eat chocolate in the morning are more productive. This proves that chocolate increases productivity.",,172,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/142/Post-Designation,,,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Фальсификация данных,"Вы заставляете данные говорить в вашу пользу, ища доказательства задним числом, не уточнив с самого начала, что именно вы пытались доказать.","Анализируя пищевые привычки ста человек, мы обнаружили, что те, кто ест шоколад утром, более продуктивны. Это доказывает, что шоколад повышает продуктивность.",,Erro Matemático,Falácia de Interpretação,Relacionamento Espúrio,Pós-designação,"Tirar uma conclusão de uma tendência observada em uma amostra, mas sem ter declarado a tendência procurada antes de estudar a amostra.","Ao analisar os hábitos alimentares de 100 pessoas, descobrimos que aqueles que comem chocolate pela manhã são mais produtivos. Isso não prova que o chocolate aumenta a produtividade.",,خطأ رياضي,سوء التفسير,علاقة وهمية,الإصطياد البياني,تحرص على أن تظهر البيانات وكأنها تدعم موقفك من خلال البحث عن دليل بعد الحدث، مع التغاضي عن تحديد ما كنت تسعى لإثباته منذ البداية.,من خلال تحليل العادات الغذائية لمائة شخص، وجدنا أن الذين يتناولون الشوكولاتة في الصباح يكونون أكثر إنتاجية. هذا لا يثبت أن الشوكولاتة تزيد الإنتاجية.,,Error matemático,Falacia de interpretación,Relación espuria,Post-designación,"Extraer una conclusión de una tendencia observada en una muestra, pero sin haber declarado la tendencia buscada antes de estudiar la muestra.","Al explorar los hábitos alimenticios de 100 personas, descubrimos que aquellos que comen chocolate por la mañana son más productivos. Esto no prueba que el chocolate aumente la productividad.",,数学错误,误解谬误,虚假关系,数据钓鱼,您事后寻找证据来支持您的观点，而忽略了从一开始就明确您想证明什么。,通过分析一百人的饮食习惯，我们发现早上吃巧克力的人工作效率更高。 但这并不能证明巧克力能提高工作效率。,,اشتباه ریاضی,تفسیر نادرست,رابطه‌ی کاذب,ماهی‌گیری داده‌ها,شما با جستجوی شواهد پس از واقعه و بدون تعیین دقیق آنچه از ابتدا قصد داشتید ثابت کنید، داده‌ها را به نفع خود تفسیر می‌کنید.,با تحلیل عادات غذایی صد نفر، ما کشف کردیم که کسانی که صبح‌ها شکلات می‌خورند، پربارتر هستند. این اثبات نمی‌کند که شکلات باعث افزایش بهره‌وری می‌شود.,,,,,,,,,,,,,,,,,,circle,,,,,3.2140000,4+
